refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
QORFAG	Fe	-2	4	26	3	5	False	5	Square pyramidal	14	0.938	9.49
QOSGEL	Fe	1	5	26	2	6	False	4	Tetrahedral	8	1.05	-49.58
QOSTAT	Ni	2	1	28	2	8	False	4	Square planar	7	0.977	29.54
QOSZON	Fe	0	1	26	2	6	False	6	Octahedral	18	0.834	191.59
QOWJOE	Co	-1	4	27	2	7	False	6	Trigonal prismatic	19	1.159	-28.09
QOXKUL	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.963	-48.93
QOXZAG	Co	1	1	27	3	6	False	4	Seesaw	9	0.902	26.97
QOXZEK	Co	1	1	27	3	6	False	4	Tetrahedral	8	0.884	33.41
QOYFEQ	Ni	0	2	28	3	7	False	5	Square pyramidal	14	1.021	42.21
QOYWIN	Mn	0	6	25	2	5	False	6	Octahedral	18	1.037	-29.88
QOZZUB	Fe	0	6	26	3	5	False	6	Octahedral	18	1.039	-20.21
QUCBOG	Co	-1	3	27	3	6	False	4	Square planar	7	0.925	27.72
QUGQUF	Ni	1	3	28	2	8	False	6	Octahedral	18	1.115	-35.27
QUHKIO	Ni	0	1	28	2	8	False	4	Square planar	7	0.945	44.49
QUKTAS	Fe	0	5	26	2	6	False	6	Trigonal prismatic	19	1.145	-49.17
QUSJAQ	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.974	-38.11
QUSPOJ	Fe	1	1	26	2	6	True	4	Tetrahedral	8	0.975	83.41
QUTFIW	Cr	-3	4	24	3	3	False	6	Octahedral	18	0.942	-48.52
QUZWAL	Ni	-1	2	28	3	7	False	5	Trigonal bipyramidal	13	0.956	27.45
RABJOX	Ni	0	1	28	2	8	False	4	Square planar	7	1.025	50.32
RABLAL	Ni	1	1	28	2	8	True	3	Trigonal planar	3	0.994	53.58
RABVOG	Co	0	1	27	1	8	False	5	Trigonal bipyramidal	13	0.894	60.39
RACNIV	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.086	-25.23
RADLEO	Ni	0	1	28	2	8	False	4	Square planar	7	0.977	44.46
RADSEU	Fe	1	1	26	2	6	True	4	Tetrahedral	8	0.995	108.58
RAFLIV	Mn	0	6	25	2	5	False	6	Trigonal prismatic	19	1.119	-44.61
RAGLOD	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.071	-50.94
RAHXAB	Mn	0	6	25	2	5	False	6	Octahedral	18	1.106	-52.81
RAKTAA	Fe	0	6	26	3	5	False	5	Square pyramidal	14	0.991	-26.38
RALNUO	Fe	0	3	26	2	6	False	4	Square planar	7	0.883	-4.8
RANJIA	Fe	1	5	26	2	6	False	4	Tetrahedral	8	1.022	-50.22
RAPJAT	Ni	0	3	28	2	8	False	6	Octahedral	18	1.123	-45.81
RARMIG	Mn	0	1	25	1	6	True	4	Tetrahedral	8	0.968	102.69
RATBIY	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.014	-26.33
RATCAR	Fe	0	6	26	3	5	False	6	Octahedral	18	1.048	-19.03
RATDIZ	Co	2	1	27	3	6	False	6	Octahedral	18	1.018	80.67
RATDOF	Co	2	1	27	3	6	False	6	Octahedral	18	1.017	77.66
RAVYIX	Fe	1	5	26	2	6	False	5	Square pyramidal	14	1.104	-40.3
RAWPUB	Ni	0	1	28	2	8	False	5	Trigonal bipyramidal	13	0.951	29.75
RAWRUF	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.075	-20.73
RAWTEO	Cr	0	4	24	3	3	True	3	Trigonal planar	3	1.035	-16.25
RAXMOT	Co	0	4	27	2	7	False	6	Octahedral	18	1.137	-19.41
RAXXUM	Co	0	4	27	2	7	False	6	Octahedral	18	1.118	-10.33
REGBUA	Fe	0	5	26	2	6	False	6	Trigonal prismatic	19	1.148	-51.64
REJDAN	Co	1	3	27	3	6	False	5	Square pyramidal	14	0.974	8.99
REMMEB	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.997	-35.9
REMMOM	Ni	0	1	28	2	8	False	4	Square planar	7	0.919	28.83
RENGAV	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.116	-49.68
RERCUP	Mn	0	1	25	1	6	False	6	Octahedral	18	0.86	114.45
RETFOM	Co	0	4	27	2	7	False	6	Octahedral	18	1.14	-10.43
RETGON	Ni	1	3	28	2	8	False	6	Octahedral	18	1.098	-40.78
REXCUS	Mn	0	5	25	3	4	False	6	Octahedral	18	0.968	-44.42
REXMIQ	Fe	0	6	26	3	5	False	6	Octahedral	18	1.062	-21.0
REXQAN	Co	0	1	27	3	6	False	6	Octahedral	18	1.044	74.9
RIHLAY	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.156	-54.79
RIMDIA	Cr	0	1	24	0	5	False	6	Octahedral	18	0.923	128.94
RIPHEG	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.04	-47.76
RIPQAL	Ni	0	1	28	2	8	False	4	Square planar	7	0.947	23.6
RIPXIX	Fe	0	6	26	3	5	False	6	Octahedral	18	1.049	-17.25
RIQQAJ	Cr	-1	1	24	0	5	False	6	Octahedral	18	0.883	114.11
RIQQEN	Cr	-1	1	24	0	5	False	6	Octahedral	18	0.888	113.99
RIQSAM	Ni	1	3	28	2	8	False	6	Octahedral	18	1.143	-37.43
RIRCIH	Ni	2	3	28	2	8	False	5	Trigonal bipyramidal	13	1.116	-19.55
RIRFAB	Fe	-2	5	26	2	6	False	4	Tetrahedral	8	0.95	-54.92
RIRFEF	Fe	0	5	26	2	6	False	3	Trigonal planar	3	0.971	-57.71
RIRFIJ	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	0.992	-48.75
RISNOZ	Fe	0	6	26	3	5	False	5	Square pyramidal	14	1.001	-18.35
RISQOC	Ni	0	1	28	2	8	False	4	Square planar	7	0.91	26.6
RISSIW	Co	0	1	27	3	6	False	6	Octahedral	18	0.971	76.66
RITTAR	Co	0	4	27	2	7	False	3	Trigonal planar	3	0.99	-15.43
RITYOK	Fe	2	5	26	2	6	False	5	Trigonal bipyramidal	13	1.081	-32.88
RIVWEA	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.016	-83.72
RIWXEA	Cr	0	5	24	2	4	False	4	Seesaw	9	1.022	-55.63
RIXROH	Co	0	1	27	3	6	True	4	Tetrahedral	8	1.047	62.12
RIXTIC	Ni	0	1	28	2	8	False	4	Square planar	7	0.96	43.96
RIZGUF	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.993	-52.8
ROBXEM	Co	-2	4	27	2	7	False	4	Tetrahedral	8	0.958	-41.61
ROCCOB	Cr	0	1	24	2	4	True	5	Square pyramidal	14	1.0	124.25
ROCDOC	Ni	2	1	28	2	8	False	5	Trigonal bipyramidal	13	0.948	32.79
ROFKOO	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.121	-37.51
ROFKUV	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.042	-63.38
ROFXAO	Ni	0	1	28	2	8	False	4	Square planar	7	0.949	27.4
ROKBUO	Cr	0	1	24	0	5	False	6	Octahedral	18	0.855	148.97
ROKMOT	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.964	84.55
ROLQUE	Co	0	1	27	3	6	False	6	Octahedral	18	0.961	40.79
ROLXIZ	Ni	1	1	28	2	8	False	4	Square planar	7	0.899	45.1
ROMSUI	Mn	0	5	25	3	4	False	5	Square pyramidal	14	0.934	-58.99
RONREU	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.053	-26.84
ROPBIH	Mn	0	6	25	2	5	False	8	Dodecahedral	33	1.211	-66.76
ROPBON	Mn	2	6	25	2	5	False	7	Capped trigonal prismatic	25	1.171	-54.53
RORXUR	Ni	0	1	28	2	8	False	4	Square planar	7	0.967	15.07
ROYGUJ	Mn	0	6	25	2	5	False	5	Trigonal bipyramidal	13	1.146	-40.05
RUHGUW	Ni	0	3	28	2	8	False	6	Octahedral	18	1.152	-14.44
RUHHOS	Cr	1	4	24	3	3	False	6	Octahedral	18	0.983	-29.91
RUHMAI	Fe	1	6	26	3	5	False	6	Octahedral	18	1.065	-8.98
RUHRIV	Co	2	4	27	2	7	False	8	Dodecahedral	33	1.3	-50.09
RUJSOE	Co	1	4	27	2	7	False	5	Square pyramidal	14	1.128	-6.54
RUJSUK	Co	2	4	27	2	7	False	6	Octahedral	18	1.179	-5.16
RUKLAK	Cr	0	1	24	0	5	False	6	Octahedral	18	0.911	96.94
RULVEA	Mn	0	5	25	3	4	False	6	Octahedral	18	0.988	-42.8
RUMGUB	Co	0	2	27	2	7	False	4	Square planar	7	0.981	24.77
RUMHAI	Co	0	2	27	2	7	False	6	Octahedral	18	1.092	23.01
RUMNUK	Fe	0	6	26	3	5	False	3	Trigonal planar	3	0.875	-47.82
RUMRAU	Fe	-3	6	26	3	5	False	6	Octahedral	18	1.027	-29.97
RUMZOP	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.066	-56.74
RUTMAV	Ni	-1	2	28	3	7	False	5	Trigonal bipyramidal	13	0.96	42.7
RUTRUT	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.983	-21.28
RUWKEA	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.058	-62.48
RUWSAG	Cr	0	5	24	2	4	False	4	Square planar	7	0.978	-61.75
RUWSOU	Cr	0	5	24	2	4	False	4	Square planar	7	1.012	-61.51
RUXYER	Ni	0	1	28	2	8	False	4	Square planar	7	0.961	48.55
SABDAB	Fe	0	5	26	2	6	False	4	Seesaw	9	1.029	-41.05
SADRAU	Fe	0	1	26	2	6	False	6	Octahedral	18	0.923	103.52
SAFTEZ	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.163	-57.77
SAFTID	Mn	0	6	25	2	5	False	7	Capped trigonal prismatic	25	1.168	-57.18
SAFTOJ	Mn	0	6	25	2	5	False	7	Capped trigonal prismatic	25	1.171	-56.9
SAFTUP	Mn	0	6	25	2	5	False	7	Capped trigonal prismatic	25	1.171	-61.62
SAFVAX	Mn	0	6	25	2	5	False	8	Dodecahedral	33	1.201	-69.7
SAGCAF	Fe	0	2	26	3	5	False	6	Octahedral	18	0.948	66.71
SAGFUB	Fe	0	1	26	2	6	False	6	Octahedral	18	0.886	85.52
SAHHAN	Ni	-1	3	28	2	8	False	4	Tetrahedral	8	1.008	-28.99
SAHZIK	Fe	0	6	26	3	5	False	6	Octahedral	18	1.032	-31.08
SAJKUN	Mn	1	1	25	1	6	False	6	Octahedral	18	0.885	87.05
SAKWOS	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.062	-58.38
SALDNI	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.074	-19.82
SAPJUO	Mn	1	5	25	3	4	False	6	Octahedral	18	0.996	-35.11
SASPAD	Ni	1	2	28	3	7	False	6	Octahedral	18	1.058	38.24
SATGOK	Ni	0	3	28	2	8	False	6	Octahedral	18	1.119	-13.24
SAVHIG	Fe	0	6	26	3	5	False	5	Trigonal bipyramidal	13	1.014	-31.98
SAVHOM	Fe	0	4	26	3	5	False	5	Trigonal bipyramidal	13	0.934	-7.86
SAXSOZ	Ni	0	1	28	0	8	True	3	Trigonal planar	3	1.034	65.33
SAYMIO	Fe	0	6	26	3	5	False	4	Tetrahedral	8	0.892	-40.25
SAYZAV	Fe	0	5	26	2	6	False	4	Seesaw	9	1.029	-36.98
SCYSCR	Cr	-1	4	24	3	3	False	6	Octahedral	18	0.969	-36.99
SEBQAS	Ni	2	3	28	2	8	False	6	Trigonal prismatic	19	1.144	-36.17
SEDHOZ	Fe	0	5	26	2	6	True	4	Tetrahedral	8	1.2	-25.04
SEDREZ	Fe	-1	2	26	3	5	False	6	Octahedral	18	0.944	72.59
SELSEI	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.061	-44.71
SEMCUK	Ni	0	1	28	2	8	False	4	Square planar	7	0.908	31.07
SEMROU	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.07	-17.06
SEPHOL	Cr	0	4	24	3	3	False	6	Octahedral	18	0.983	-41.39
SEPPUZ	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.167	-53.41
SESGUT	Co	2	4	27	2	7	False	6	Octahedral	18	1.122	-21.37
SEWBUR	Mn	0	1	25	1	6	False	6	Octahedral	18	0.838	130.45
SEWMAK	Co	-2	4	27	2	7	False	4	Seesaw	9	1.025	-14.48
SEZTUM	Cr	0	5	24	2	4	False	5	Square pyramidal	14	1.045	-55.26
SEZVAU	Cr	0	5	24	2	4	False	4	Square planar	7	0.993	-64.73
SEZVEY	Cr	-2	5	24	2	4	False	4	Square planar	7	0.987	-65.66
SIBLIZ	Ni	1	1	28	2	8	False	4	Square planar	7	0.955	33.85
SIBZAE	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.092	-31.63
SICCAL	Co	1	1	27	3	6	False	6	Octahedral	18	0.965	74.98
SICCUC	Ni	2	3	28	2	8	False	6	Octahedral	18	1.106	-29.93
SICFAM	Mn	0	1	25	1	6	False	6	Octahedral	18	0.883	108.97
SICFEQ	Mn	0	1	25	1	6	False	6	Octahedral	18	0.881	106.18
SIFQAA	Ni	0	1	28	2	8	False	4	Square planar	7	0.944	74.54
SIHKEA	Ni	1	2	28	3	7	False	4	Square planar	7	0.924	37.69
SILCIZ	Ni	0	1	28	2	8	False	4	Square planar	7	0.942	24.48
SILWOA	Fe	-2	6	26	3	5	False	6	Octahedral	18	1.014	-18.4
SILYOC	Mn	0	1	25	1	6	False	6	Octahedral	18	0.857	128.62
SINDIC	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.047	-67.64
SINMIO	Co	1	4	27	2	7	False	5	Trigonal bipyramidal	13	1.087	-24.11
SIPHAA	Co	0	3	27	1	8	False	4	Tetrahedral	8	0.943	-35.86
SIPLEI	Co	2	1	27	3	6	False	6	Octahedral	18	0.996	58.54
SIQMEL	Ni	0	1	28	0	8	True	3	Trigonal planar	3	1.051	82.08
SIQNAK	Co	0	1	27	3	6	False	6	Octahedral	18	0.93	116.03
SIQNEO	Co	0	1	27	3	6	False	6	Octahedral	18	0.95	83.61
SIQZOH	Mn	0	6	25	2	5	False	5	Trigonal bipyramidal	13	1.07	-50.71
SIRMIP	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.979	69.47
SISNAK	Co	1	4	27	2	7	False	7	Capped trigonal prismatic	25	1.233	-31.89
SITFEG	Ni	0	3	28	2	8	False	6	Octahedral	18	1.102	-23.86
SIVQEU	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.058	-20.07
SIXMES	Fe	1	5	26	2	6	False	6	Octahedral	18	1.135	-22.83
SIXMOC	Fe	1	5	26	2	6	False	5	Trigonal bipyramidal	13	1.08	-36.69
SIXRAV	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.07	-22.59
SIXZAA	Ni	0	1	28	2	8	False	5	Trigonal bipyramidal	13	1.007	16.14
SIYHOA	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.008	-31.83
SOBXAI	Cr	0	1	24	0	5	False	6	Octahedral	18	0.863	111.43
SOCMEC	Fe	1	1	26	2	6	True	4	Tetrahedral	8	0.961	105.0
SOFGOK	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.062	36.23
SOFWIU	Ni	2	3	28	2	8	False	6	Octahedral	18	1.113	-53.18
SOGFAY	Ni	0	1	28	2	8	False	3	T-shaped	6	0.901	31.34
SOGFEC	Ni	1	1	28	2	8	True	3	Trigonal planar	3	1.106	55.96
SOGPIO	Co	2	1	27	3	6	True	4	Tetrahedral	8	1.039	71.32
SOHJIJ	Mn	0	6	25	2	5	False	6	Octahedral	18	1.117	-36.16
SOHKAC	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.076	-47.19
SOHKEG	Mn	0	6	25	2	5	False	6	Octahedral	18	1.134	-37.74
SOMTIY	Mn	1	6	25	2	5	False	7	Capped trigonal prismatic	25	1.197	-54.09
SOPCAB	Ni	0	2	28	3	7	True	3	Trigonal planar	3	1.043	25.07
SOQLOZ	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.993	44.92
SOQLUF	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.036	-51.3
SOSVAX	Ni	0	1	28	2	8	False	4	Square planar	7	0.934	24.08
SOTLET	Fe	0	5	26	2	6	False	7	Pentagonal bipyramidal	23	1.189	-56.85
SOWKIY	Co	0	1	27	3	6	False	6	Octahedral	18	0.986	85.38
SOXJUK	Co	-1	4	27	2	7	False	4	Tetrahedral	8	0.993	-21.16
SOZYEL	Co	0	1	27	3	6	False	6	Octahedral	18	0.974	92.14
SUBGOO	Mn	-1	6	25	2	5	False	4	Tetrahedral	8	0.96	-69.59
SUBJIL	Ni	0	2	28	3	7	False	5	Square pyramidal	14	0.999	46.34
SUBQAK	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.984	-65.78
SUFBUS	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.11	-17.54
SUFDEC	Mn	0	6	25	2	5	False	4	Tetrahedral	8	1.053	-69.89
SUJVAW	Fe	1	5	26	2	6	False	6	Octahedral	18	1.117	-31.52
SUKQUK	Co	-1	1	27	3	6	False	6	Octahedral	18	0.97	68.82
SUKWUQ	Co	1	1	27	3	6	False	6	Octahedral	18	0.97	65.82
SUPKIY	Mn	1	5	25	3	4	False	6	Octahedral	18	0.988	-40.81
SUSGEV	Fe	0	3	26	2	6	False	4	Square planar	7	0.893	3.42
SUTQAB	Fe	0	6	26	3	5	False	6	Octahedral	18	1.043	-20.37
SUVREI	Ni	0	3	28	2	8	False	6	Octahedral	18	1.144	-38.81
SUXTEL	Ni	1	1	28	2	8	False	4	Square planar	7	0.927	28.81
TABNEP	Cr	0	1	24	0	5	False	6	Octahedral	18	0.859	143.36
TACNAN	Mn	0	1	25	1	6	False	6	Octahedral	18	0.84	165.33
TACSAU	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.975	-60.78
TADFEJ	Cr	0	4	24	3	3	False	6	Octahedral	18	0.957	-23.15
TADSUQ	Co	1	1	27	3	6	True	4	Tetrahedral	8	1.075	85.08
TAFTAV	Mn	2	6	25	2	5	False	7	Capped trigonal prismatic	25	1.189	-46.33
TAGFIR	Ni	-1	2	28	3	7	False	4	Square planar	7	0.897	35.46
TAGFUD	Ni	-1	2	28	3	7	False	4	Square planar	7	0.887	32.83
TAGLES10	Fe	0	1	26	2	6	False	6	Octahedral	18	0.9	79.0
TAGZUA	Co	0	4	27	2	7	False	6	Octahedral	18	1.133	-14.0
TAHYOQ	Mn	-1	1	25	1	6	False	6	Octahedral	18	0.822	120.71
TAJXUX	Fe	-1	1	26	0	6	True	3	Trigonal planar	3	0.956	97.7
TAJXUZ	Cr	0	1	24	0	5	False	6	Octahedral	18	0.847	144.35
TAJYAG	Cr	0	1	24	0	5	False	6	Octahedral	18	0.869	123.35
TAKDEQ	Mn	-1	5	25	3	4	False	6	Octahedral	18	0.983	-57.1
TAKZAH	Co	0	4	27	2	7	False	6	Octahedral	18	1.132	-13.06
TALMEZ	Fe	-1	4	26	3	5	False	5	Square pyramidal	14	0.939	9.13
TALYIO	Cr	0	1	24	0	5	True	4	Tetrahedral	8	0.968	142.89
TAMZAJ	Fe	1	1	26	2	6	False	6	Octahedral	18	0.884	103.75
TANLEA	Co	0	2	27	2	7	False	4	Seesaw	9	0.906	13.36
TANLOK	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.0	-13.01
TANLUQ	Co	0	2	27	2	7	False	4	Tetrahedral	8	0.902	16.08
TAPGUM	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.004	-39.36
TAPZUI	Fe	1	5	26	2	6	False	5	Square pyramidal	14	1.122	-42.45
TAQZEQ	Cr	1	1	24	2	4	True	5	Square pyramidal	14	0.979	121.68
TARWIU	Ni	0	1	28	2	8	False	4	Square planar	7	0.956	27.22
TAVHOO	Fe	-1	6	26	3	5	False	5	Trigonal bipyramidal	13	1.017	-16.17
TAVWAP	Mn	1	6	25	2	5	False	7	Capped trigonal prismatic	25	1.179	-48.85
TAWNEK	Cr	0	1	24	0	5	False	6	Octahedral	18	0.858	149.18
TCDYNI	Ni	0	3	28	2	8	True	2	Linear	0	1.177	-22.55
TDTCCO	Co	0	1	27	3	6	False	6	Octahedral	18	0.973	51.17
TEANIN	Ni	2	3	28	2	8	False	6	Octahedral	18	1.137	-47.73
TEBKIW	Fe	-1	5	26	2	6	False	5	Square pyramidal	14	1.03	-40.25
TEBKOC	Fe	-1	5	26	2	6	False	5	Square pyramidal	14	1.03	-25.6
TEBLAP	Fe	-1	5	26	2	6	False	5	Square pyramidal	14	1.029	-34.77
TEBRUP	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.027	-27.62
TEBVIH	Mn	2	6	25	2	5	False	6	Octahedral	18	1.145	-37.31
TECFIR	Mn	0	6	25	2	5	False	6	Octahedral	18	1.09	-46.5
TECRAW	Ni	-1	2	28	3	7	False	4	Square planar	7	0.888	39.19
TEHGAQ	Mn	1	5	25	3	4	False	6	Octahedral	18	0.977	-45.47
TEHYOV	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.981	-18.59
TEPCUM	Ni	0	1	28	2	8	False	4	Square planar	7	0.926	22.24
TEQPUA	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	1.008	-46.16
TEQQAH	Fe	-1	3	26	2	6	False	5	Trigonal bipyramidal	13	0.934	13.48
TETFON	Ni	1	3	28	2	8	False	6	Octahedral	18	1.158	-27.14
TEVLAK	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.166	-52.15
TEVXIC	Co	2	1	27	3	6	False	6	Octahedral	18	0.969	64.47
TEVXUQ	Co	0	2	27	2	7	True	3	Trigonal planar	3	1.021	34.96
TEVYAX	Co	0	2	27	2	7	True	3	T-shaped	6	1.017	48.15
TEXLIS	Co	0	4	27	2	7	False	4	Seesaw	9	1.021	-20.73
TEZKIS	Ni	2	1	28	2	8	False	5	Trigonal bipyramidal	13	0.97	25.37
TGLYCR	Cr	0	4	24	3	3	False	6	Octahedral	18	0.958	-45.47
THETCO	Co	0	4	27	2	7	False	6	Octahedral	18	1.129	-12.96
THOCCR	Cr	0	1	24	0	5	False	6	Octahedral	18	0.871	127.49
TIBKOH	Ni	0	1	28	2	8	False	4	Square planar	7	0.962	23.15
TICJEX	Fe	2	5	26	2	6	False	5	Square pyramidal	14	1.105	-32.87
TICMAW	Fe	0	5	26	2	6	False	4	Seesaw	9	1.035	-31.79
TIDCAL	Fe	0	5	26	2	6	False	6	Octahedral	18	1.134	-26.33
TIGBIV	Co	2	4	27	2	7	False	6	Octahedral	18	1.146	-16.01
TIGGEW	Ni	-4	3	28	2	8	False	6	Octahedral	18	1.11	-52.76
TIKYOC	Mn	0	6	25	2	5	False	6	Octahedral	18	1.15	-41.07
TILSUD	Co	2	2	27	2	7	False	4	Square planar	7	0.998	15.43
TINTUG	Ni	0	1	28	2	8	False	4	Square planar	7	0.929	26.61
TIQZIE	Fe	0	4	26	3	5	False	5	Square pyramidal	14	0.982	1.43
TIRDUU	Mn	2	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.16	-56.58
TIRKAG	Ni	0	1	28	0	8	True	4	Tetrahedral	8	1.043	59.46
TIRKOU	Ni	0	1	28	0	8	True	3	Trigonal planar	3	0.997	47.99
TITRAQ	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.094	-5.54
TIVNUJ	Ni	1	3	28	2	8	False	5	Trigonal bipyramidal	13	1.108	-11.73
TIVZIJ	Ni	0	1	28	2	8	False	4	Square planar	7	0.981	37.44
TIZJES	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.02	-65.83
TOBBAP	Ni	0	1	28	2	8	False	4	Square planar	7	0.943	42.82
TOBWEO	Ni	0	3	28	2	8	False	4	Seesaw	9	1.024	-34.36
TOCSOV	Fe	-1	6	26	3	5	False	4	Tetrahedral	8	1.037	-21.69
TODDUL	Ni	-2	1	28	2	8	False	4	Square planar	7	0.908	73.48
TOHNEJ	Cr	0	1	24	0	5	True	6	Octahedral	18	1.065	114.07
TOKRAN	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.991	-67.4
TOLBEB	Ni	-1	1	28	2	8	False	5	Trigonal bipyramidal	13	0.94	25.73
TOLMEO	Mn	0	6	25	2	5	False	6	Octahedral	18	1.094	-45.95
TOLTET	Co	1	1	27	3	6	False	6	Octahedral	18	0.95	43.33
TOLZOK	Ni	0	1	28	2	8	False	3	Trigonal planar	3	0.901	11.77
TOLZUQ	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.007	-25.77
TOPJEO	Mn	2	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.146	-57.73
TOPJUF	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.09	-51.65
TOPKAM	Mn	0	6	25	2	5	False	6	Trigonal prismatic	19	1.165	-56.86
TOTGOY	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.017	-33.05
TOWCEN	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.091	-23.71
TOWFAM	Mn	0	1	25	1	6	True	6	Octahedral	18	0.983	134.13
TRENCM	Mn	1	6	25	2	5	False	5	Trigonal bipyramidal	13	1.079	-54.34
TUDGII	Ni	2	3	28	2	8	False	6	Octahedral	18	1.139	-43.0
TUDJEH	Mn	0	5	25	3	4	False	6	Octahedral	18	0.99	-27.36
TUDJIL	Cr	-1	4	24	3	3	False	6	Octahedral	18	0.945	-21.54
TUJWIE	Ni	1	1	28	2	8	False	5	Square pyramidal	14	1.032	24.99
TUKGUB	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.078	-16.49
TUMYUV	Co	0	3	27	1	8	False	4	Tetrahedral	8	0.954	-36.42
TUPMAV	Ni	0	1	28	2	8	False	4	Square planar	7	0.954	40.92
TUSBOZ	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.171	-59.08
TUTJOH	Cr	-1	1	24	0	5	False	6	Octahedral	18	0.881	119.33
TUTKEA	Ni	1	3	28	2	8	False	6	Octahedral	18	1.115	-38.86
TUTMAW	Ni	0	3	28	2	8	False	6	Octahedral	18	1.119	-38.71
TUTMUS	Fe	1	1	26	2	6	False	6	Octahedral	18	0.936	47.07
TUTPAB	Fe	0	1	26	2	6	False	6	Octahedral	18	0.913	58.4
UBEVOP	Fe	0	1	26	2	6	False	6	Octahedral	18	0.922	59.21
UBEXOQ	Fe	2	5	26	2	6	False	7	Pentagonal bipyramidal	23	1.191	-50.35
UBICEP	Co	2	1	27	3	6	False	6	Octahedral	18	0.962	54.18
UBODUK	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.037	-53.98
UBOFOG	Mn	0	5	25	3	4	False	5	Square pyramidal	14	0.94	-53.09
UBOMEG	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.95	-37.69
UBUBAU	Fe	0	6	26	3	5	False	6	Octahedral	18	1.055	-14.35
UCECEL	Fe	-1	4	26	3	5	False	5	Square pyramidal	14	0.935	13.02
UCISAA	Ni	0	3	28	2	8	False	6	Octahedral	18	1.117	-41.65
UCIVOT	Fe	-2	6	26	3	5	False	5	Square pyramidal	14	0.97	-37.02
UCIVUZ	Fe	-2	6	26	3	5	False	5	Trigonal bipyramidal	13	0.972	-39.81
UCIWOS	Fe	0	1	26	2	6	False	6	Octahedral	18	0.934	88.91
UCOJIF	Co	0	4	27	2	7	True	4	Tetrahedral	8	1.185	-8.75
UCOMEE	Cr	3	4	24	3	3	False	6	Octahedral	18	0.94	-23.42
UDUGUY	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.15	-58.91
