refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
NEYVUI	Ni	0	1	28	2	8	False	4	Square planar	7	0.949	21.09
NEYWOD	Cr	0	3	24	2	4	False	6	Octahedral	18	0.942	27.18
NEYWUJ	Cr	0	4	24	3	3	False	6	Octahedral	18	0.953	-16.86
NEZBIG	Ni	-2	3	28	2	8	False	4	Tetrahedral	8	1.009	-36.67
NEZGIJ	Co	0	2	27	2	7	True	4	Tetrahedral	8	1.036	33.2
NEZPEQ	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.005	-21.06
NICFAH	Co	-1	4	27	2	7	False	4	Tetrahedral	8	1.025	-19.4
NIDMOE	Fe	0	5	26	2	6	False	3	Trigonal planar	3	0.989	-63.32
NIDTHC11	Ni	0	1	28	2	8	False	4	Square planar	7	0.935	23.73
NIFWAB	Ni	0	1	28	2	8	True	3	Trigonal planar	3	0.986	47.19
NIHXEK	Co	0	3	27	1	8	False	4	Seesaw	9	0.994	-36.47
NIHYIP	Co	0	3	27	1	8	False	4	Tetrahedral	8	0.993	-39.88
NIHZCH11	Ni	-1	3	28	2	8	False	6	Octahedral	18	1.116	-46.27
NIJZEM	Mn	0	6	25	2	5	False	8	Dodecahedral	33	1.206	-57.22
NISBEW	Fe	0	1	26	2	6	False	6	Octahedral	18	0.92	64.03
NIVWOF	Fe	0	1	26	2	6	False	6	Octahedral	18	0.882	179.41
NIWTOC	Mn	-1	5	25	3	4	False	5	Trigonal bipyramidal	13	0.944	-41.15
NOBHET	Cr	1	4	24	3	3	False	6	Octahedral	18	0.999	-33.98
NOFJOI	Fe	-1	6	26	3	5	False	5	Trigonal bipyramidal	13	1.005	-22.28
NOGWIQ	Cr	0	4	24	3	3	False	6	Octahedral	18	0.976	-21.77
NOHKUQ	Cr	0	4	24	3	3	False	3	Trigonal planar	3	0.826	-42.24
NOJJAX	Cr	1	4	24	3	3	False	6	Octahedral	18	0.955	-20.45
NOKSOX	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.104	-48.76
NONTIW	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.042	-20.08
NONTUI	Cr	0	4	24	3	3	True	3	Trigonal planar	3	1.022	-15.91
NONVEU	Cr	0	5	24	2	4	True	3	Trigonal planar	3	1.107	-49.88
NONYUN	Ni	0	1	28	0	8	True	3	Trigonal planar	3	0.961	68.25
NOPTES	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.969	-10.91
NOQTAP	Ni	0	3	28	2	8	False	6	Octahedral	18	1.185	-24.04
NOSHEI	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.973	47.76
NOTPUK	Mn	0	1	25	1	6	False	6	Octahedral	18	0.844	153.44
NOYCIN	Co	2	4	27	2	7	False	6	Octahedral	18	1.121	-9.38
NOYJUG	Fe	-3	6	26	3	5	False	6	Trigonal prismatic	19	1.027	-18.14
NOZPAT	Co	0	1	27	3	6	False	6	Octahedral	18	0.971	104.59
NTMTUC	Co	0	4	27	2	7	False	6	Octahedral	18	1.175	-19.31
NUKPAM01	Fe	0	5	26	2	6	False	7	Pentagonal bipyramidal	23	1.172	-45.29
NUNTAR	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.142	-60.02
NUNWUP	Fe	0	3	26	0	6	False	4	Tetrahedral	8	0.798	62.76
NUPTAT	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.967	-21.99
NURPUN	Co	1	3	27	1	8	False	2	Linear	0	0.963	-28.77
NUSMIY	Fe	-2	2	26	3	5	False	6	Octahedral	18	0.946	25.75
NUTHIU	Co	0	4	27	2	7	False	6	Octahedral	18	1.148	-14.62
NUYHOE	Ni	1	1	28	2	8	False	5	Square pyramidal	14	0.978	33.35
NUZCUG	Co	1	1	27	3	6	True	4	Tetrahedral	8	1.015	87.53
NUZSUX	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.033	-60.14
OBIMOC	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.996	-31.29
OBIVAX	Ni	2	1	28	2	8	False	4	Square planar	7	0.925	35.76
OBOFOC	Fe	2	1	26	2	6	False	6	Octahedral	18	0.914	65.61
OBOKAR	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.007	-40.55
OBOKOF	Ni	0	1	28	2	8	False	4	Square planar	7	0.917	37.78
OCOCFE	Fe	0	1	26	0	6	True	2	Linear	0	1.028	78.86
OCUJOL	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.074	-45.84
ODIHOY	Cr	0	5	24	2	4	False	4	Seesaw	9	0.97	-48.17
ODOWUC	Co	0	4	27	2	7	False	6	Octahedral	18	1.104	-13.09
ODUXIX	Fe	0	5	26	2	6	False	4	Seesaw	9	1.018	-37.68
OEPHNI	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.985	-28.2
OFANER	Fe	0	5	26	2	6	False	6	Octahedral	18	1.119	-17.08
OFEXAA	Ni	-2	1	28	2	8	False	4	Square planar	7	0.918	67.79
OFINAT	Co	2	4	27	2	7	False	6	Octahedral	18	1.113	-13.22
OFIXEI	Cr	0	4	24	3	3	False	6	Octahedral	18	0.948	-38.43
OFUROX	Ni	0	1	28	2	8	True	2	Linear	0	1.082	39.28
OGEVUS	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.019	-45.16
OGUBOH	Co	1	1	27	3	6	True	4	Tetrahedral	8	1.048	69.17
OHUSEQ	Ni	0	1	28	2	8	False	4	Square planar	7	0.972	19.96
OJEBUB	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.145	-54.35
OJUHAF	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.167	-56.88
OKEMUO	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.133	-46.03
OLENAU	Mn	0	6	25	2	5	False	8	Dodecahedral	33	1.31	-91.24
OLIWUB	Co	0	4	27	2	7	False	6	Octahedral	18	1.142	-11.56
