refcode	metal	charge_cif
DUHBUD	Cr	6
DUJCIU	Cr	3
DUJDAN	Cr	4
DULQAD	Cr	3
DULTUA	Cr	0
DUQZAR	Cr	0
DUTMEK10	Cr	3
DUTMIO10	Cr	3
DUYXAW	Cr	0
DUYZII	Cr	2
EAMNCR10	Cr	0
EBEKEB	Cr	2
EBOLEN	Cr	6
EBOTEU	Cr	2
ECOBAB	Cr	3
ECOBEF	Cr	3
ECOBIJ	Cr	3
ECOSAR	Cr	3
ECOXAW	Cr	2
ECOXEA	Cr	6
EDTACR02	Cr	3
EDTCOR	Cr	3
EFEGAY	Cr	3
EGEYAS	Cr	3
EGEYEW	Cr	3
EGEYIA	Cr	3
EGINEN	Cr	2
EGULOI	Cr	3
EGUNOK	Cr	2
EGUPAY	Cr	2
EHUSOP	Cr	0
EJAMUX	Cr	0
EJANAE	Cr	0
EJANEI	Cr	0
EJANIM	Cr	0
EJANOS	Cr	0
EJANUY	Cr	0
EJIHIP	Cr	0
EKADEA	Cr	0
EKEKOV	Cr	3
EKOXOR	Cr	0
EMACCR	Cr	0
EMAKEL	Cr	2
EMIWIG	Cr	3
EMIWOM	Cr	3
EMIWUS	Cr	3
EMOZEL	Cr	3
EMOZIP	Cr	3
ENAHIK	Cr	3
ENDACR	Cr	3
EPEJOZ	Cr	0
EQIVIJ	Cr	2
EQIVOP	Cr	2
EQIWAC	Cr	3
EQOWEP	Cr	3
ESIMIC	Cr	3
EVOJAA	Cr	3
EWEYIO	Cr	3
EXIJUQ	Cr	3
EXOVIX	Cr	3
EYAYIN	Cr	3
EYAZAG	Cr	3
EZUSEY	Cr	3
FACDAO	Cr	3
FAFMUY	Cr	2
FAFZAO	Cr	0
FAFZOC	Cr	0
FAKYEV	Cr	1
FAMMAI	Cr	3
FAMPCR10	Cr	0
FAPDAC	Cr	3
FAPDIK	Cr	3
FAWTOM	Cr	3
FEFTUF	Cr	4
FELDAB	Cr	3
FEQGEN	Cr	2
FEQNEV	Cr	3
FEQNIZ	Cr	3
FEWGIX	Cr	3
FEWMEA	Cr	3
FEXROR	Cr	3
FEZXUD	Cr	3
FEZZIT	Cr	0
FICZOG	Cr	0
FIHNEP	Cr	0
FIKXEF	Cr	3
FIQWAD	Cr	3
FIRNAW	Cr	1
FIVHIB	Cr	0
FIVHOH	Cr	0
FIVZOZ	Cr	3
FMSICR	Cr	0
FOCJEM	Cr	2
FOFWAY	Cr	0
FOGNEV	Cr	3
FOKYEJ	Cr	0
FOMBOZ	Cr	5
FONHOF	Cr	0
FOPBIV	Cr	0
FORJAX	Cr	0
FOSVIS	Cr	3
FUGPIG	Cr	0
FUNNEH	Cr	6
FUPHEE	Cr	3
FUVJUD	Cr	6
FUVKAK	Cr	6
FUVKEO	Cr	6
FUVKIS	Cr	6
FUVKUE	Cr	6
FUVLAL	Cr	6
FUVLEP	Cr	6
FUVLOZ	Cr	6
FUVLUF	Cr	6
FUVMAM	Cr	6
FUVMEQ	Cr	6
FUVMIU	Cr	6
FUVMOA	Cr	6
FUVNER	Cr	6
FUVNOB	Cr	6
FUVPAP	Cr	6
FUVPIX	Cr	6
FUVPOD	Cr	6
FUVPUJ	Cr	6
FUVQAQ	Cr	6
FUVQEU	Cr	6
FUVVID	Cr	6
FUVVOJ	Cr	6
FUVVUP	Cr	6
FUVWAW	Cr	6
FUVWEA	Cr	6
FUZDUZ	Cr	0
GABFUK	Cr	0
GABYOX	Cr	3
GADQIN	Cr	3
GAGVOA	Cr	4
GAGVUG	Cr	3
GALKIN	Cr	3
GELCOP	Cr	5
GENXAZ	Cr	0
GENZII	Cr	2
GEQZUY	Cr	3
GEVFIW	Cr	0
GEWYEM	Cr	3
GIBSOA	Cr	3
GICNEL	Cr	3
GIDKAH	Cr	3
GIFJEM	Cr	2
GIGGEI	Cr	0
GIGGIM	Cr	0
GIJGEL	Cr	0
GIJGOV	Cr	0
GIJHIQ	Cr	0
GILCUZ	Cr	0
GIVPEG	Cr	0
GIVPIK	Cr	0
GIVPOQ	Cr	0
GIVRUB	Cr	3
GIVSAI	Cr	5
GIWRIN	Cr	3
GOCWIE	Cr	0
GOCWOK	Cr	0
GOCZUT	Cr	0
GODBEG	Cr	0
GODLIU	Cr	0
GODLIV	Cr	0
GOGDAI	Cr	3
GOJMOI	Cr	3
GORVUH	Cr	0
GORWIT	Cr	3
GOTRIS	Cr	3
GOTROY	Cr	3
GOTRUE	Cr	3
GOZCED	Cr	3
GOZCIH	Cr	3
GULWUH	Cr	3
HABWEO	Cr	3
HACCIY	Cr	3
HAGHOO	Cr	2
HAGJEG	Cr	5
HAGKIK	Cr	6
HAHLOR	Cr	3
HAKPUF	Cr	2
HAKQAM	Cr	2
HAKQEQ	Cr	3
HAKZIC	Cr	0
HANVUP	Cr	3
HARKIU	Cr	2
HATTIG	Cr	3
HAWDOB	Cr	3
HAWFER	Cr	0
HAWRUU	Cr	3
HAWSAB	Cr	3
HAWSEF	Cr	3
HAWSIJ	Cr	3
HAZDAO	Cr	0
HAZDES	Cr	0
HELRAR	Cr	3
HEMLUG	Cr	0
HENYEF	Cr	3
HEPREZ	Cr	0
HEPRID	Cr	0
HEQTAY	Cr	3
HEQTEC	Cr	3
HEQTUS	Cr	5
HEQVAA	Cr	5
HERVEF	Cr	3
HESMIB	Cr	3
HETCRA	Cr	0
HEVBEP	Cr	0
HEZQAF	Cr	3
HEZQEJ	Cr	3
HIDGUX	Cr	2
HIFGOS	Cr	3
HIGDOR	Cr	0
HIGTUM	Cr	0
HIJNIX	Cr	3
HIMBUB	Cr	3
HIMCAI	Cr	3
HIMCEM	Cr	3
HINTUU	Cr	0
HIPLEX	Cr	0
HIPLIB	Cr	0
HIPLOH	Cr	0
HIQMAW	Cr	3
HIQYAJ	Cr	3
HISGOI	Cr	6
HISHID	Cr	6
HITWAI	Cr	5
HIWSEL	Cr	3
HIWSIP	Cr	3
HIXYAQ	Cr	3
HIZDOJ	Cr	3
HIZNEJ	Cr	2
HMTZCR	Cr	1
HOCCUA	Cr	3
HOCDAH	Cr	3
HOCDUB	Cr	3
HODGAI	Cr	0
HOHBUB	Cr	3
HOHCAI	Cr	3
HOHYEI	Cr	0
HOJDUH	Cr	3
HOJFAP	Cr	3
HOKBUE	Cr	6
HONHAW	Cr	1
HONZIT	Cr	3
HONZOZ	Cr	3
HONZUF	Cr	3
HOSHUS	Cr	3
HOTDOJ	Cr	3
