refcode	metal	charge_cif
ASULOR	Ni	2
ATEGAJ	Ni	2
ATOCOC	Ni	2
ATOKUP	Ni	2
ATOMUS	Ni	2
ATOPUW	Ni	2
ATOTIO	Ni	2
ATPONI	Ni	2
ATSZNI10	Ni	2
ATUJEG	Ni	2
ATUPUA	Ni	2
ATUQAH	Ni	2
ATUROW	Ni	2
ATURUC	Ni	2
ATUXOD	Ni	2
AVAYEB	Ni	2
AVEKAO	Ni	2
AVETAW	Ni	2
AVIBIR	Ni	2
AVIBOX	Ni	2
AVOHOI	Ni	2
AVOJIE	Ni	2
AVOKAX	Ni	2
AVOKON	Ni	2
AVORAE	Ni	2
AVOROU	Ni	2
AVUNOU	Ni	2
AWAQEV	Ni	2
AWELUJ	Ni	2
AWENAS	Ni	2
AWIJEX02	Ni	2
AWOJAY	Ni	2
AWOSUB	Ni	2
AWOWOZ	Ni	2
AWUDAY	Ni	2
AWUDUS	Ni	2
AWUTAN	Ni	2
AXALEQ	Ni	2
AXEHEQ	Ni	2
AXEHOA	Ni	2
AXIHOE	Ni	2
AXINUR	Ni	2
AXIQOO	Ni	2
AXITAE	Ni	3
AXITIM	Ni	3
AXOTAK	Ni	2
AXUSAO	Ni	2
AXUTOE	Ni	2
AXUTUK	Ni	2
AYACUY	Ni	2
AYADAF	Ni	2
AYAGEM	Ni	2
AYAGIQ	Ni	2
AYEKIA	Ni	2
AYEWEG	Ni	2
AYIDOB	Ni	2
AYIDUH	Ni	2
AYIJEY	Ni	2
AYINAY	Ni	2
AYIQIJ	Ni	2
AYIRIK	Ni	2
AYITAE	Ni	2
AYITEI	Ni	2
AYIYEN	Ni	2
AYOBAS	Ni	2
AYODUP	Ni	2
AYOLEG	Ni	2
AYOYES	Ni	2
AYUHIN01	Ni	1
AYUWAU	Ni	2
AZANOG	Ni	2
AZAYOR	Ni	2
AZEREC	Ni	2
AZIDIY	Ni	2
AZIXEO	Ni	2
AZIXIS	Ni	2
AZOCNI16	Ni	2
AZOXIW	Ni	2
AZUVAS	Ni	2
AZUVEW	Ni	2
AZUVIA	Ni	2
AZUVOG	Ni	2
AZUVUM	Ni	2
BABDOY	Ni	2
BABMEA	Ni	2
BABPAX	Ni	2
BABQAZ	Ni	2
BACDUH	Ni	2
BACGET	Ni	2
BACGIX	Ni	2
BACPEC	Ni	2
BACVIN	Ni	2
BACVUZ	Ni	2
BACYUC	Ni	2
BACZAH	Ni	2
BACZAJ	Ni	2
BACZEN	Ni	2
BADCOA	Ni	2
BADGEV	Ni	2
BADGIZ	Ni	2
BADHIZ	Ni	2
BADSAA10	Ni	2
BADZOV	Ni	2
BAFBUH	Ni	2
BAFKOI	Ni	2
BAFSIM	Ni	2
BAGCIV	Ni	2
BAGGAT	Ni	2
BAHMEE	Ni	2
BAHMII	Ni	3
BAJGID	Ni	2
BAJTEL	Ni	2
BAJVEN	Ni	2
BAJVUE	Ni	2
BAJWAL	Ni	2
BAJWEP	Ni	2
BAJWOZ	Ni	2
BAJWUF	Ni	2
BAJXAM	Ni	2
BAJYAN	Ni	2
BAKBEV	Ni	2
BAKBIZ	Ni	2
BAKBOF	Ni	2
BAKBUL	Ni	2
BAKDUO	Ni	2
BAKJON	Ni	2
BAKKII	Ni	2
BAKRAH	Ni	2
BAKREL	Ni	2
BAKYAQ	Ni	2
BALCAU	Ni	2
BALVUF	Ni	2
BAMGII	Ni	2
BAMPIP	Ni	2
BAMPUB	Ni	2
BAPBEA	Ni	2
BAPKEI	Ni	2
BAPTAQ	Ni	2
BAPTIY	Ni	2
BAQCUR	Ni	2
BAQDAY	Ni	2
BAQDEC	Ni	2
BAQDOM	Ni	2
BAQHAC	Ni	2
BARBEB	Ni	3
BARGAE	Ni	2
BARGIL	Ni	2
BARHEH	Ni	2
BARHUX	Ni	2
BARKIR	Ni	2
BARPOB	Ni	2
BASBEE	Ni	2
BASLEM	Ni	2
BASTAT	Ni	2
BASWUQ	Ni	2
BASXEB	Ni	2
BATLIT	Ni	2
BATONI	Ni	2
BATQAR	Ni	2
BATSIY	Ni	2
BATWIF	Ni	2
BATZEB	Ni	1
BAVFEM	Ni	2
BAVNAN	Ni	2
BAVYUS	Ni	2
BAWMES	Ni	2
BAWNET	Ni	2
BAWNOD	Ni	2
BAWNUJ	Ni	2
BAXBUX	Ni	2
BAXCAE	Ni	2
BAXLIX	Ni	2
BAXWUU	Ni	2
BAYTEC	Ni	2
BAYTIG	Ni	2
BAYVAZ	Ni	2
BAYVED	Ni	2
BAYZUX	Ni	2
BAZBAG	Ni	2
BAZSIE	Ni	2
BAZSUR	Ni	2
BEAMNI	Ni	2
BEBMUQ	Ni	2
BEBNUR	Ni	2
BEBPOP	Ni	2
BEBQIK	Ni	2
BEBQOQ	Ni	2
BEBQUW	Ni	2
BECHID	Ni	2
BECHOJ	Ni	2
BECRIL	Ni	2
BEDDIX	Ni	1
BEDLII	Ni	2
BEFCOE	Ni	2
BEFFUO	Ni	2
BEFHAW	Ni	2
BEGLUU	Ni	2
BEGNEG	Ni	2
BEGQUC	Ni	2
BEGRAJ	Ni	2
BEHHIH	Ni	2
BEHKOQ	Ni	2
BEJDOM	Ni	2
BEJDUS	Ni	2
BEJFAA	Ni	2
BEJSUH	Ni	2
BEJVAO	Ni	2
BEKVIZ	Ni	2
BEKWOD	Ni	2
BELCOK	Ni	2
BELLOW	Ni	2
BELVAS	Ni	2
BELVEW	Ni	2
BELVIA	Ni	2
BEMHIM	Ni	2
BEMHOS	Ni	2
BEMHUY	Ni	2
BEMNAK	Ni	2
BEMWEW	Ni	2
BEMXAT	Ni	2
BEMZUO	Ni	2
BENBOO	Ni	2
BENDOP	Ni	2
BENFIL	Ni	2
BENKUA	Ni	2
BEPCAC	Ni	2
BEPNEP	Ni	2
BEPNOZ	Ni	2
BEPRUJ01	Ni	2
BEQFAF	Ni	2
BEQFAH	Ni	2
BEQMIT	Ni	2
BEQVIE	Ni	2
BEQYEE	Ni	2
BEQZAB	Ni	2
BERHOX	Ni	2
BESTOJ	Ni	2
BESTUP	Ni	2
BETCEL	Ni	2
BETHIR	Ni	2
BETNAP01	Ni	2
BEVMUL	Ni	2
BEWFAN	Ni	2
BEWKIX	Ni	2
BEWQEC	Ni	2
BEWQIG	Ni	2
BEXJEW	Ni	3
BEXKOE	Ni	2
BEXMIC	Ni	2
BEXMOI	Ni	2
BEXMUO	Ni	2
BEXNAV	Ni	2
BEXZIN	Ni	2
BEYLUN	Ni	2
BEZCAK	Ni	2
BEZCAN	Ni	2
BEZCIV	Ni	2
BEZDIV	Ni	2
BEZKIA	Ni	2
BEZVIM	Ni	2
BEZVOS	Ni	2
BEZYUB	Ni	2
BEZZAI	Ni	2
BFBZNI	Ni	2
BHEXNI	Ni	2
BIBDOG	Ni	2
BIBDUM	Ni	3
BIBFEY	Ni	3
BIBGIE	Ni	2
BIBSAG	Ni	2
BIBWIV	Ni	2
BICAEN10	Ni	0
BICDOG	Ni	2
BICGUQ	Ni	2
BICQAI	Ni	2
BICSIQ	Ni	2
BICWEQ	Ni	2
BICWIU	Ni	2
BICZAO	Ni	2
BIDLUY	Ni	2
BIFKOQ	Ni	2
BIFWIW10	Ni	2
BIGMAF	Ni	2
BIGNEL	Ni	0
BIHKAE	Ni	2
BIJBAZ	Ni	2
BIJMEO	Ni	2
BIJNOX	Ni	2
BIJQAO	Ni	2
BIJRUJ	Ni	3
BIJSAQ	Ni	3
BIJSUK	Ni	2
BIJTAR	Ni	2
BIJYAX	Ni	3
BIJYIF	Ni	3
BIKINI	Ni	0
BIKPIW	Ni	2
BILNIU	Ni	2
BILNOA	Ni	2
BIMGAI	Ni	2
BIMMIT	Ni	2
BIMMOZ	Ni	2
BINCOR	Ni	3
BINMAO	Ni	2
BINSIA01	Ni	2
BINTEX	Ni	2
BINYED	Ni	2
BINYON	Ni	2
BIPCAG	Ni	2
BIPHIS	Ni	2
BIPJUG	Ni	2
BIPKER	Ni	2
BIPRAT	Ni	2
BIQTIH	Ni	2
BIRMUN	Ni	2
BISJAR	Ni	0
BISJES	Ni	2
BISJUL	Ni	0
BISKAS	Ni	0
BISMUL	Ni	2
BIVFIV	Ni	2
BIVFOB	Ni	2
BIVWUY	Ni	2
BIVYEL	Ni	2
BIWNEA	Ni	2
BIXQOR	Ni	1
BIXQUU	Ni	2
BIXXAH10	Ni	2
BIYPIJ	Ni	2
BIYRIL	Ni	2
BIYZIT	Ni	2
BIZBAN	Ni	2
BIZHIC	Ni	2
BIZHOI	Ni	2
BIZJEA	Ni	2
BIZREI	Ni	2
BMPFPN	Ni	2
BMPNIB10	Ni	2
BMPONI	Ni	2
BOBQUE	Ni	2
BOCSAN	Ni	2
BODFIJ	Ni	2
BODGAC	Ni	2
BODGEG	Ni	2
BODQER	Ni	2
BODRUI	Ni	2
BODWOH	Ni	2
BOFMAM	Ni	2
BOFPOD	Ni	2
BOGFIN	Ni	2
BOGKIS	Ni	2
BOHFOT	Ni	2
BOHJOX	Ni	2
BOHKIT	Ni	2
BOHWEC	Ni	2
BOHZAZ	Ni	2
BOJHOY	Ni	2
BOJNET	Ni	2
BOJPOI	Ni	0
BOKFEP	Ni	2
BOKFIT	Ni	2
BOKHOB	Ni	2
BOKZAD	Ni	2
BOKZEH	Ni	2
BOKZIL	Ni	2
BOLLAS	Ni	2
BOLLEW	Ni	2
BOLNEV	Ni	2
BOLPIB	Ni	2
BOLPIE	Ni	4
BOLVAA	Ni	2
BOLVEE	Ni	2
BOLVII	Ni	2
BOLVOO	Ni	2
BOMFIV	Ni	2
BOMQID	Ni	2
BOMSON	Ni	2
BOMVEF	Ni	2
BOMXUW	Ni	2
BONFIV	Ni	2
BONFOB	Ni	2
BONHIV	Ni	2
BONQAW	Ni	2
BOPFOD	Ni	3
BOPHAQ	Ni	2
BOPHEU	Ni	2
BOPJOF10	Ni	2
BOPQED	Ni	2
BOQPAZ	Ni	2
BOQPON	Ni	2
BOQXIQ	Ni	2
BOQZOW	Ni	2
BOQZUC	Ni	2
BORMIF	Ni	2
BORMOL	Ni	2
BOSNEC	Ni	2
BOSPII	Ni	2
BOSVOU	Ni	2
BOTPIK	Ni	2
BOTZAO	Ni	2
BOVFUO	Ni	2
BOVKAZ	Ni	2
BOVMOP	Ni	2
BOVRUZ	Ni	2
BOVWIS	Ni	2
BOVWOY	Ni	4
BOWFUP	Ni	2
BOWHOK	Ni	2
BOXAMN	Ni	2
BOXMEG	Ni	2
BOYGAA	Ni	2
BOYGEE	Ni	2
BOYXAP	Ni	2
BOYXET	Ni	2
BOZHUV	Ni	2
BOZJAD	Ni	2
BOZJEH	Ni	2
BOZJIL	Ni	2
BOZKEI	Ni	2
BOZKOS	Ni	2
BOZLEJ	Ni	2
BOZLOT	Ni	2
BOZNAG	Ni	2
BOZNIO	Ni	2
BOZPEM	Ni	2
BOZPIQ	Ni	2
BOZPOX	Ni	2
BOZXUL	Ni	2
BOZZEX	Ni	2
BOZZIZ	Ni	2
BOZZOF	Ni	2
BOZZUL	Ni	2
BPBRNI	Ni	2
BPESNI	Ni	2
BPPENI	Ni	2
BUBBAD	Ni	3
BUBBEH	Ni	3
BUBLEQ	Ni	2
BUBXAZ	Ni	2
BUCMOB	Ni	2
BUCNIT10	Ni	0
BUCSUO	Ni	2
BUCVOL	Ni	2
BUCWOL	Ni	2
BUDCOT	Ni	2
BUDHEN	Ni	3
BUDJAN	Ni	2
BUFHAL	Ni	2
BUFREB	Ni	2
BUGCUC	Ni	2
BUGDAJ	Ni	2
BUGDEN	Ni	2
BUGDIR	Ni	2
BUGDOX	Ni	1
BUGFAM	Ni	2
BUGJIY	Ni	2
BUGTEC01	Ni	2
BUHKIA	Ni	2
BUJPEC	Ni	2
BUJWEJ	Ni	2
BUJZUE	Ni	2
BUKJUM10	Ni	2
BUKKAT10	Ni	2
BUKMIE	Ni	2
BUKMOK	Ni	2
BUKQII	Ni	2
BULVEM	Ni	2
BULXAI	Ni	2
BULYEM	Ni	2
BUNMON	Ni	2
BUNVOV02	Ni	2
BUPANI10	Ni	2
BUPKUT	Ni	3
BUPLAA	Ni	3
BURBUL	Ni	2
BURCAS	Ni	2
BURCEW	Ni	2
BURCIA	Ni	2
BURCOG	Ni	2
BURDEY	Ni	2
BURWER	Ni	2
BURWIW	Ni	2
BURWOB	Ni	2
BURXES	Ni	2
BUSNOS	Ni	2
BUTJOR	Ni	2
BUVSAO	Ni	2
BUVYUM	Ni	2
BUWZOK	Ni	2
BUXJEJ	Ni	2
BUXPOB	Ni	2
BUXVOG	Ni	2
BUXWUN	Ni	2
BUYNIS	Ni	2
BUZBAB	Ni	2
BUZFUY	Ni	2
BUZKAJ	Ni	2
BUZKEN	Ni	2
BUZROE	Ni	3
BUZRUM	Ni	2
BUZSAT	Ni	2
BUZSIB	Ni	2
BUZSUN	Ni	2
BZMANI03	Ni	2
BZPENI	Ni	0
BZQNIX	Ni	2
CABLEY	Ni	2
CABNAX	Ni	2
CABPUR	Ni	2
CABQUS	Ni	2
CABSII	Ni	2
CABSOO	Ni	2
CABVIM	Ni	2
CABVOS	Ni	2
CABVUY	Ni	2
CABWEJ	Ni	2
CACBIR	Ni	2
CACQEE	Ni	2
CACTUY	Ni	2
CADBIW	Ni	2
CADFAR	Ni	2
CADGUL	Ni	2
CAFZOB	Ni	2
CAGBAQ	Ni	2
CAGBEU	Ni	2
CAGCUJ	Ni	2
CAGDAQ	Ni	2
CAGHUO	Ni	2
CAGSOV	Ni	2
CAHFUP	Ni	2
CAHNUX	Ni	2
CAJDIA	Ni	2
CAJDOG	Ni	2
CAJQEJ	Ni	2
CAJROX	Ni	2
CAJYAQ	Ni	2
CAKKIK	Ni	2
CAKPOV	Ni	2
CAKQOU	Ni	2
CAKQUB	Ni	2
CALBOI	Ni	2
CALCEZ	Ni	2
CALGII	Ni	3
CAMRAM	Ni	2
CANBID	Ni	2
CANFOO	Ni	2
CANHEG	Ni	2
CAPDOM	Ni	2
CAPMOW	Ni	2
CAPMUC	Ni	2
CAPPEP	Ni	3
CAPPIT	Ni	2
CAPPNC10	Ni	2
CAPPOZ	Ni	2
CAPPUF	Ni	3
CAPQAM	Ni	2
CAPVUM	Ni	2
CAPVUN	Ni	2
CAQBUR	Ni	2
CAQMEM	Ni	2
CARROF	Ni	2
