refcode	metal	charge_cif
BETRAW	Fe	3
BETRIC	Fe	2
BEVZAD	Fe	0
BEXXOT	Fe	2
BEYREC	Fe	2
BEZMEY	Fe	0
BICPEI	Fe	0
BICPIM	Fe	0
BICPUY	Fe	0
BICSEL	Fe	3
BIJHUY	Fe	2
BIJJAG	Fe	2
BIJJIO	Fe	2
BIJJUA	Fe	2
BIJKEL	Fe	2
BIJQUJ	Fe	2
BIKBOP	Fe	2
BIKDOR	Fe	2
BILQUI	Fe	2
BILXAX	Fe	2
BINXEC	Fe	2
BINZUW	Fe	2
BIPWUV	Fe	3
BIRWOO	Fe	2
BISWEF11	Fe	2
BITPFE	Fe	2
BIWCOA	Fe	3
BIWPOP	Fe	2
BIWTUZ	Fe	2
BIXBOA	Fe	3
BIXDES	Fe	2
BIXDIW	Fe	2
BIXFOG	Fe	2
BIYNUV	Fe	3
BIYYEN	Fe	3
BOCGEG	Fe	3
BOCKIQ	Fe	2
BOCYOK	Fe	2
BOCZEB	Fe	2
BODGAE	Fe	3
BOFFIL	Fe	2
BOFFOS	Fe	3
BOFGOS	Fe	2
BOGPIW	Fe	3
BOJLUI	Fe	2
BOJMAP	Fe	2
BOJMET	Fe	2
BOLCOW	Fe	3
BOMFER	Fe	2
BOMNOG	Fe	2
BOMXAC10	Fe	3
BONGOB	Fe	3
BONGUH	Fe	2
BONHAO	Fe	3
BONVOP10	Fe	3
BONVUV10	Fe	3
BONWEG	Fe	3
BONZUA	Fe	3
BORBAN	Fe	3
BOVMEF	Fe	2
BOVNUW	Fe	2
BOWNIL	Fe	2
BOWYUJ	Fe	3
BOXCUO	Fe	3
BOXSAK	Fe	3
BOXSEO	Fe	2
BOXVAL	Fe	3
BOYDOI	Fe	2
BOYKIM	Fe	2
BOZCEY	Fe	3
BQIFEC10	Fe	2
BUBYEF	Fe	3
BUBYOP	Fe	3
BUBZAC	Fe	3
BUCDEJ	Fe	2
BUCDOS	Fe	2
BUHHAN	Fe	2
BUHQUQ	Fe	3
BUKDUH	Fe	2
BUKVEJ	Fe	2
BULSIL	Fe	3
BULSOR	Fe	3
BUNSAF	Fe	2
BUNSIN	Fe	2
BUQCUL	Fe	3
BUSVOC	Fe	2
BUSXAQ	Fe	2
BUTHOO	Fe	2
BUTPOY	Fe	2
BUVNOW	Fe	2
BUVRUF	Fe	2
BUVTIW	Fe	3
BUXSUJ	Fe	3
BUXTAQ	Fe	2
BUXTEU	Fe	3
BUXTIY	Fe	3
BUYBEC	Fe	2
BUYBIG	Fe	2
BUYMUF	Fe	4
BUYNIU	Fe	2
BUYNOA	Fe	2
CABLOH	Fe	2
CABXIO	Fe	2
CABYAH	Fe	2
CACDIW	Fe	2
CADYEM	Fe	2
CAFNIG	Fe	3
CAFTIM	Fe	0
CAHPEI	Fe	2
CAJFAV	Fe	2
CAJFEZ	Fe	3
CAJSAK	Fe	3
CAJWAO	Fe	3
CAKDAV	Fe	3
CAKDOJ	Fe	3
CAKHUU	Fe	3
CAKSUC	Fe	3
CALCID	Fe	2
CALNAH	Fe	1
CAMYAR	Fe	3
CANWUL	Fe	3
CAPRIV	Fe	2
CAPZAW	Fe	3
CAQVEX	Fe	2
CARQUH	Fe	2
CASCEH	Fe	2
CATGEJ	Fe	0
CATWIG	Fe	2
CAWCOV	Fe	2
CAWKIX	Fe	2
CAWNEV	Fe	3
CAWSIE	Fe	2
CAWTAV	Fe	2
CAWTEB	Fe	2
CAWZAC	Fe	2
CAXLIW	Fe	3
CAXTON	Fe	2
CAYCAH	Fe	3
CAZZOV	Fe	2
CBAPFE	Fe	3
CEBMOM	Fe	3
CEBXUD	Fe	3
CECBOB	Fe	2
CECVUD	Fe	2
CEDWIS	Fe	3
CEHFOK	Fe	0
CEHHAB	Fe	2
CEHHIJ	Fe	2
CEHHON	Fe	2
CEHXIZ	Fe	2
CELHIM	Fe	3
CELHOS	Fe	3
CELVEU	Fe	3
CELWIZ	Fe	3
CELZEY	Fe	0
CEMNOZ	Fe	3
CEMWIC	Fe	2
CEMWOI	Fe	2
CEMWUO	Fe	2
CEMXAV	Fe	2
CEMXID	Fe	2
CEPBOP	Fe	2
CEPBUV	Fe	2
CEPMAN	Fe	2
CEPZOM	Fe	2
CEQKIT	Fe	2
CEQPIZ	Fe	3
CEQPOF	Fe	3
CEQSAU	Fe	2
CERDEJ	Fe	2
CERGEO	Fe	2
CERZII	Fe	3
CERZOO	Fe	3
CESBAD	Fe	3
CESBIL	Fe	3
CESGOW	Fe	3
CESZOR	Fe	3
CETFAI	Fe	2
CETNAR	Fe	3
CETNEV	Fe	3
CETRUP	Fe	3
CEVPEB	Fe	3
CEVXOT	Fe	2
CEWXUX10	Fe	2
CEXFAN	Fe	2
CEXKUN	Fe	3
CEXLIC	Fe	3
CEXLUN	Fe	3
CEYRAA	Fe	2
CEYSAA	Fe	2
CFMCFE	Fe	3
CHXPFE10	Fe	3
CICNEH	Fe	2
CICQAG	Fe	2
CICQEK	Fe	2
CIDDUR	Fe	2
CIDZFE	Fe	3
CIFCUP	Fe	2
CIHXOI	Fe	3
CIKZIG	Fe	3
CILYIF	Fe	3
CIMBUW	Fe	2
