refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AEBZTZ	Cu	2	7777	{1: 0.428496, 2: 0.096787, 3: 0.411142}	1
AEPCUI	Cu	9999	7777	{1: 0.002664, 2: 0.014632, 3: 0.987621}	2
AEPIPC	Cu	9999	7777	{1: 0.319412, 2: 0.06333, 3: 0.608835}	1
AEPYCC12	Cu	2	7777	{1: 0.142128, 2: 0.00769, 3: 0.752243}	2
AEPYCU	Cu	2	7777	{1: 0.000169, 2: 1.4e-05, 3: 0.87549}	2
AETCUB	Cu	2	7777	{1: 0.18996, 2: 3.3e-05, 3: 0.607117}	4
AFAHEX	Cu	2	7777	{1: 0.204521, 2: 7.7e-05, 3: 0.522849}	2
AFAHIB	Cu	2	7777	{1: 0.217606, 2: 2.3e-05, 3: 0.539989}	2
AFAJOH	Cu	2	7777	{1: 0.139862, 2: 4.1e-05, 3: 0.630135}	3
AFATIM	Cu	2	7777	{1: 0.2352, 2: 0.000513, 3: 0.510025}	1
AFAVEK	Cu	2	7777	{1: 0.181598, 2: 0.000125, 3: 0.632942}	1
AFEDEW	Cu	2	7777	{1: 0.192112, 2: 7e-06, 3: 0.543656}	2
AFEFAT	Cu	2	7777	{1: 0.136452, 2: 0.000427, 3: 0.62672}	2
AFEGUO	Cu	2	7777	{1: 0.050907, 2: 1.3e-05, 3: 0.743604}	3
AFEHUP	Cu	2	7777	{1: 0.225309, 2: 0.00129, 3: 0.525211}	1
AFELED	Cu	2	7777	{1: 0.172272, 2: 8.7e-05, 3: 9999}	4
AFEZAP	Cu	9999	7777	{1: 0.469075, 2: 0.056463, 3: 9999}	2
AFIDIF	Cu	2	7777	{1: 0.239334, 2: 0.000318, 3: 0.582983}	2
AFIMOU	Cu	9999	7777	{1: 0.000284, 2: 0.00016, 3: 0.89511}	3
AFIPUA	Cu	2	7777	{1: 0.156396, 2: 0.000176, 3: 9999}	3
AFOLOW	Cu	2	7777	{1: 0.557945, 2: 0.286795, 3: 0.176542}	1
AFOVEW	Cu	1	7777	{1: 0.005861, 2: 0.119498, 3: 9999}	3
AGABUH	Cu	2	7777	{1: 0.216923, 2: 9.7e-05, 3: 0.566328}	3
AGAWAJ	Cu	2	7777	{1: 0.240135, 2: 0.000125, 3: 0.508047}	3
AGAWIO	Cu	2	7777	{1: 0.414943, 2: 0.076892, 3: 0.435705}	1
AGAYOZ	Cu	9999	7777	{1: 0.087694, 2: 1.5e-05, 3: 9999}	2
AGEQOU	Cu	1	7777	{1: 0.043345, 2: 0.071677, 3: 9999}	3
AGEQUA	Cu	1	7777	{1: 0.001016, 2: 0.004389, 3: 9999}	3
AGEVOY	Cu	2	7777	{1: 0.415911, 2: 0.078315, 3: 0.433949}	1
AGEVUE	Cu	2	2	{1: 0.566508, 2: 0.074936, 3: 9999}	1
AGEXOA	Cu	2	7777	{1: 0.058293, 2: 4e-05, 3: 0.740655}	2
AGEZES	Cu	9999	7777	{1: 0.202569, 2: 2.8e-05, 3: 0.599337}	1
AGIGED	Cu	2	7777	{1: 0.188599, 2: 2.7e-05, 3: 9999}	4
AGIHII	Cu	2	7777	{1: 0.21438, 2: 4.3e-05, 3: 0.574896}	2
AGIHOO	Cu	2	7777	{1: 0.278441, 2: 0.000861, 3: 0.415293}	2
AGOFUZ	Cu	2	7777	{1: 0.244423, 2: 6.3e-05, 3: 0.496172}	4
AGOGAG	Cu	2	7777	{1: 0.136726, 2: 1e-06, 3: 0.618338}	4
AGOHAF	Cu	2	7777	{1: 0.121802, 2: 0.000278, 3: 0.718125}	3
AGOJIP	Cu	2	7777	{1: 0.038207, 2: 7e-06, 3: 0.738849}	2
AGOKEO	Cu	2	7777	{1: 0.166346, 2: 5e-06, 3: 0.557935}	4
AGOROE	Cu	2	7777	{1: 0.207115, 2: 5.2e-05, 3: 0.573262}	3
AGOTEW	Cu	2	7777	{1: 0.195185, 2: 1.2e-05, 3: 0.59582}	3
AGOVIB	Cu	2	7777	{1: 0.203108, 2: 1e-05, 3: 0.571378}	3
AGOVOI	Cu	2	7777	{1: 0.179358, 2: 0.000479, 3: 0.555938}	3
AGOVUN	Cu	2	7777	{1: 0.18292, 2: 0.0, 3: 0.548412}	5
AGOXEZ	Cu	2	7777	{1: 0.36265, 2: 0.01642, 3: 0.42687}	1
AGOXOJ	Cu	2	7777	{1: 0.318772, 2: 0.000273, 3: 0.475517}	2
AGOYUR	Cu	2	7777	{1: 0.229201, 2: 0.000113, 3: 0.51671}	1
AGUKUK	Cu	2	7777	{1: 0.105689, 2: 0.000356, 3: 9999}	1
AGULEU	Cu	2	7777	{1: 0.163836, 2: 5e-06, 3: 0.645208}	1
AGUNIA	Cu	9999	9999	{1: 9999, 2: 9999, 3: 9999}	1
AGURUR	Cu	2	7777	{1: 0.11547, 2: 6.9e-05, 3: 0.666981}	2
AHACUH	Cu	2	7777	{1: 0.094541, 2: 1e-05, 3: 0.71436}	2
AHAFAQ	Cu	2	7777	{1: 0.185757, 2: 1.5e-05, 3: 0.62125}	3
AHAFEU	Cu	2	7777	{1: 0.111287, 2: 2.6e-05, 3: 0.637424}	3
AHAJIE	Cu	2	7777	{1: 0.167716, 2: 0.003971, 3: 0.635119}	3
AHASAD	Cu	2	7777	{1: 0.135056, 2: 0.00066, 3: 0.527919}	4
AHASOR	Cu	2	7777	{1: 0.112974, 2: 6.9e-05, 3: 0.576012}	3
AHAWEN	Cu	2	7777	{1: 0.172609, 2: 0.009594, 3: 0.702662}	2
AHAZUE	Cu	1	7777	{1: 0.026856, 2: 0.000446, 3: 9999}	2
AHEGOL	Cu	2	7777	{1: 0.130173, 2: 7.6e-05, 3: 0.61205}	4
AHEPEJ	Cu	9999	7777	{1: 0.309773, 2: 0.004029, 3: 0.351319}	3
AHEQOU	Cu	2	7777	{1: 0.286662, 2: 0.000116, 3: 0.409551}	3
AHIJAC	Cu	2	7777	{1: 0.044536, 2: 5.2e-05, 3: 9999}	2
AHOQAR	Cu	2	7777	{1: 0.185954, 2: 1e-05, 3: 0.545847}	3
AHOQEV	Cu	2	7777	{1: 0.057161, 2: 3.7e-05, 3: 0.781241}	2
AHOVOK	Cu	2	7777	{1: 0.162895, 2: 4.6e-05, 3: 0.535086}	2
AHUJOC	Cu	1	7777	{1: 0.185902, 2: 0.283526, 3: 9999}	2
AHUTON	Cu	2	7777	{1: 0.338422, 2: 0.001325, 3: 0.465982}	2
AHUVUU	Cu	2	2	{1: 0.537972, 2: 0.037138, 3: 9999}	1
AHUWAB	Cu	2	7777	{1: 0.529422, 2: 0.244929, 3: 0.228234}	1
AHUWEF	Cu	2	7777	{1: 0.398093, 2: 0.05216, 3: 0.466242}	2
AHUWIJ	Cu	2	2	{1: 0.530102, 2: 0.026713, 3: 9999}	1
AHUWOP	Cu	2	7777	{1: 0.410781, 2: 0.070784, 3: 0.443248}	1
AHUWUV	Cu	2	2	{1: 0.592179, 2: 0.052011, 3: 9999}	2
AICOCU10	Cu	2	7777	{1: 0.068018, 2: 0.000586, 3: 0.673923}	2
AJAQEI	Cu	2	7777	{1: 0.24456, 2: 6.4e-05, 3: 0.489819}	2
AJAQOT	Cu	2	7777	{1: 0.18822, 2: 0.000144, 3: 0.52695}	3
AJARAG	Cu	2	7777	{1: 0.193968, 2: 1.9e-05, 3: 9999}	4
AJAROS	Cu	2	7777	{1: 0.007142, 2: 0.001106, 3: 0.959708}	2
AJARUZ	Cu	2	7777	{1: 0.287925, 2: 7.5e-05, 3: 0.397438}	2
AJAVUD	Cu	9999	7777	{1: 0.006624, 2: 0.131142, 3: 1.105716}	2
AJAYIW	Cu	2	7777	{1: 0.25781, 2: 0.000312, 3: 0.44026}	3
AJETER	Cu	1	7777	{1: 0.085927, 2: 0.048475, 3: 9999}	2
AJEVOA	Cu	2	7777	{1: 0.247208, 2: 0.000416, 3: 0.558604}	3
AJICEC	Cu	2	7777	{1: 0.14556, 2: 0.030057, 3: 0.768999}	3
AJICIG	Cu	2	7777	{1: 0.373962, 2: 0.033158, 3: 0.393458}	3
AJIKUB	Cu	9999	7777	{1: 0.169398, 2: 1.1e-05, 3: 0.650022}	3
AJILUC	Cu	2	7777	{1: 0.183987, 2: 0.000248, 3: 0.60283}	2
AJINEN	Cu	2	7777	{1: 0.000332, 2: 0.000187, 3: 0.84319}	3
AJINIQ	Cu	9999	7777	{1: 0.269266, 2: 0.000367, 3: 0.33031}	1
AJIQAL	Cu	1	7777	{1: 0.000716, 2: 0.115244, 3: 9999}	2
AJISAP	Cu	2	7777	{1: 0.316435, 2: 0.000105, 3: 9999}	2
AJIVEU	Cu	9999	7777	{1: 0.226387, 2: 8.4e-05, 3: 0.515162}	2
AJODAE	Cu	2	7777	{1: 0.130932, 2: 0.004718, 3: 0.659301}	2
AJUFOC	Cu	2	7777	{1: 0.198688, 2: 0.000685, 3: 9999}	2
