refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AACANI11	Ni	2	7777	{2: 0.078173, 3: 0.337644, 4: 9999}	3
ABAJAP	Ni	2	2	{2: 0.172586, 3: 0.976089, 4: 9999}	2
ABASEC	Ni	2	7777	{2: 0.021725, 3: 0.46301, 4: 9999}	2
ABAXEH	Ni	3	2	{2: 0.005092, 3: 9999, 4: 9999}	2
ABECIU	Ni	2	2	{2: 0.142816, 3: 0.83792, 4: 9999}	3
ABEDAN	Ni	2	2	{2: 4.8e-05, 3: 0.582989, 4: 9999}	3
ABEDIV	Ni	2	2	{2: 0.156324, 3: 0.857651, 4: 9999}	3
ABEDUH	Ni	2	2	{2: 0.18263, 3: 0.880758, 4: 9999}	3
ABEPAA	Ni	2	9999	{2: 9999, 3: 9999, 4: 9999}	4
ABEPEE	Ni	2	9999	{2: 9999, 3: 9999, 4: 9999}	4
ABESEI	Ni	2	7777	{2: 0.136801, 3: 0.230216, 4: 1.563652}	2
ABIPIK	Ni	2	7777	{2: 0.051668, 3: 0.425436, 4: 9999}	1
ABOBAV	Ni	2	2	{2: 0.000256, 3: 0.525061, 4: 9999}	1
ABOQEO	Ni	2	9999	{2: 9999, 3: 9999, 4: 9999}	2
ABOQOY	Ni	0	9999	{2: 9999, 3: 9999, 4: 9999}	2
ABOTNI	Ni	2	2	{2: 0.138258, 3: 9999, 4: 9999}	2
ABUVUO	Ni	2	2	{2: 0.001241, 3: 0.61628, 4: 9999}	4
ABUVUP	Ni	2	7777	{2: 0.283713, 3: 0.080711, 4: 9999}	1
ABUWAV	Ni	2	2	{2: 0.019177, 3: 9999, 4: 9999}	3
ABUWUP	Ni	2	2	{2: 0.02111, 3: 0.557283, 4: 9999}	2
ABUZUT	Ni	3	7777	{2: 1.7e-05, 3: 0.490962, 4: 9999}	3
ABXNIH	Ni	2	2	{2: 0.033576, 3: 0.532405, 4: 9999}	3
ABZINI10	Ni	9999	7777	{2: 0.120973, 3: 0.338468, 4: 9999}	2
ACAMNI	Ni	2	7777	{2: 0.000164, 3: 0.43651, 4: 1.76335}	3
ACAPNI	Ni	2	7777	{2: 0.044096, 3: 0.373955, 4: 9999}	2
ACASOO	Ni	2	2	{2: 0.009679, 3: 0.502418, 4: 9999}	2
ACATOO	Ni	9999	7777	{2: 0.289476, 3: 0.024365, 4: 9999}	1
ACAVAC	Ni	9999	7777	{2: 0.224411, 3: 0.061584, 4: 9999}	1
ACAZIP	Ni	2	2	{2: 0.001581, 3: 9999, 4: 9999}	2
ACEKAU	Ni	2	9999	{2: 9999, 3: 9999, 4: 9999}	2
ACENNI	Ni	9999	2	{2: 0.041826, 3: 0.870694, 4: 9999}	3
ACEWIO	Ni	2	7777	{2: 0.01147, 3: 0.404793, 4: 9999}	1
