refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ABUBII	Mn	1	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUKUG	Mn	3	7777	{2: 0.455605, 3: 0.000186, 4: 0.96526, 5: 9999, 6: 9999, 7: 9999}	3
ABUMAN	Mn	2	2	{2: 7.9e-05, 3: 1.125807, 4: 2.167596, 5: 9999, 6: 9999, 7: 9999}	3
ACACMN	Mn	3	7777	{2: 2.371348, 3: 1.109403, 4: 0.314263, 5: 0.293312, 6: 0.860353, 7: 1.687649}	1
ACAGUH	Mn	2	2	{2: 7.5e-05, 3: 1.120006, 4: 2.1641, 5: 9999, 6: 9999, 7: 9999}	4
ACEDUH	Mn	1	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
ACELUR	Mn	2	2	{2: 0.233215, 3: 1.350985, 4: 2.397019, 5: 9999, 6: 9999, 7: 9999}	4
ACTPMN	Mn	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ADAZEL	Mn	2	2	{2: 0.050705, 3: 1.078085, 4: 2.145353, 5: 9999, 6: 9999, 7: 9999}	3
ADEHIB	Mn	2	2	{2: 0.011797, 3: 1.008455, 4: 2.070046, 5: 9999, 6: 9999, 7: 9999}	4
ADEVIP	Mn	2	2	{2: 0.000988, 3: 0.993131, 4: 2.062065, 5: 9999, 6: 9999, 7: 9999}	3
ADIPUB	Mn	9999	7777	{2: 0.006732, 3: 0.000143, 4: 1.06792, 5: 9999, 6: 9999, 7: 9999}	2
ADIQAI	Mn	9999	7777	{2: 0.009627, 3: 0.002614, 4: 1.057505, 5: 9999, 6: 9999, 7: 9999}	2
ADOROA	Mn	2	2	{2: 0.000236, 3: 0.898855, 4: 1.966752, 5: 9999, 6: 9999, 7: 9999}	2
AFATAE	Mn	9999	3	{2: 0.584776, 3: 0.00074, 4: 0.922119, 5: 9999, 6: 9999, 7: 9999}	3
AFAXIO	Mn	3	3	{2: 0.583803, 3: 0.002132, 4: 0.725064, 5: 9999, 6: 9999, 7: 9999}	3
AFEDIZ	Mn	2	2	{2: 0.000128, 3: 1.026105, 4: 2.089062, 5: 9999, 6: 9999, 7: 9999}	3
AFEWOA	Mn	3	7777	{2: 4.3e-05, 3: 0.000189, 4: 0.959184, 5: 9999, 6: 9999, 7: 9999}	3
AFOLEN	Mn	2	2	{2: 0.000874, 3: 1.054672, 4: 2.098815, 5: 9999, 6: 9999, 7: 9999}	3
AGAGOH	Mn	9999	2	{2: 0.089039, 3: 1.150022, 4: 2.223521, 5: 9999, 6: 9999, 7: 9999}	2
AGICIF	Mn	2	7777	{2: 0.02869, 3: 0.01326, 4: 1.106456, 5: 9999, 6: 9999, 7: 9999}	1
AGLCMN	Mn	2	2	{2: 0.0199, 3: 1.007213, 4: 2.036853, 5: 2.861326, 6: 3.664594, 7: 4.61162}	2
AGOQUJ	Mn	2	2	{2: 0.312034, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	1
AGUBAF	Mn	2	2	{2: 0.03603, 3: 0.991298, 4: 2.021471, 5: 2.844649, 6: 3.646382, 7: 4.592546}	2
AGUFUG	Mn	9999	7777	{2: 0.382971, 3: 1.4e-05, 4: 0.765742, 5: 9999, 6: 9999, 7: 9999}	3
AGUJUH	Mn	3	7777	{2: 0.185509, 3: 0.006984, 4: 0.80585, 5: 9999, 6: 9999, 7: 9999}	3
AHAVUB	Mn	2	2	{2: 0.001483, 3: 1.032991, 4: 2.078779, 5: 9999, 6: 9999, 7: 9999}	3
AHICEA	Mn	1	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AHMALM	Mn	2	2	{2: 0.233004, 3: 0.796968, 4: 1.831738, 5: 2.640705, 6: 3.423678, 7: 4.35964}	2
AHOHEL	Mn	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	1
AHOMES	Mn	3	7777	{2: 0.499235, 3: 2.2e-05, 4: 0.950665, 5: 9999, 6: 9999, 7: 9999}	2
AJICUT	Mn	2	2	{2: 0.002344, 3: 0.868227, 4: 1.938414, 5: 9999, 6: 9999, 7: 9999}	2
AJIHOR	Mn	2	2	{2: 3.1e-05, 3: 0.757353, 4: 1.832069, 5: 9999, 6: 9999, 7: 9999}	3
AJIMAI	Mn	9999	3	{2: 0.620577, 3: 8.5e-05, 4: 0.895095, 5: 9999, 6: 9999, 7: 9999}	3
AJOZAA01	Mn	3	3	{2: 0.522678, 3: 0.000149, 4: 0.879982, 5: 9999, 6: 9999, 7: 9999}	3
