refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
JUXNIB	Fe	2	2	{2: 0.083133, 3: 0.875803, 4: 9999, 6: 9999}	2
JUXNOF	Fe	3	7777	{2: 0.004771, 3: 0.171823, 4: 9999, 6: 9999}	4
JUXPUN	Fe	2	2	{2: 3.5e-05, 3: 0.741426, 4: 9999, 6: 9999}	3
JUYSEE	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
KABREN	Fe	3	7777	{2: 0.154284, 3: 0.172233, 4: 9999, 6: 9999}	3
KACCEZ	Fe	2	2	{2: 4e-05, 3: 0.576897, 4: 9999, 6: 9999}	2
KACJAZ	Fe	0	8888	{2: 9999, 3: 0.684948, 4: 9999, 6: 9999}	2
KADFAA	Fe	2	2	{2: 0.143123, 3: 0.961358, 4: 9999, 6: 9999}	3
KADVEU	Fe	2	2	{2: 4.1e-05, 3: 0.805483, 4: 9999, 6: 3.956886}	3
KADZOG	Fe	3	7777	{2: 0.001229, 3: 0.186557, 4: 9999, 6: 9999}	4
KAFFOP	Fe	2	2	{2: 0.409465, 3: 1.174401, 4: 9999, 6: 9999}	2
KAFLUA	Fe	3	7777	{2: 0.218825, 3: 0.08941, 4: 9999, 6: 9999}	3
KAFTIV	Fe	3	7777	{2: 0.006633, 3: 0.193483, 4: 9999, 6: 9999}	2
KAFWAQ	Fe	2	7777	{2: 0.100721, 3: 0.066875, 4: 9999, 6: 9999}	3
KAGCIH	Fe	3	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
KAGLIO	Fe	2	2	{2: 0.025118, 3: 0.784402, 4: 9999, 6: 9999}	3
KAGPUE	Fe	2	2	{2: 0.020114, 3: 0.806192, 4: 9999, 6: 9999}	3
KAGRES	Fe	3	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
KAGXID	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
KAGXUP	Fe	3	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
KAHJUZ	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
KAHNAK	Fe	2	2	{2: 0.001052, 3: 0.685354, 4: 9999, 6: 9999}	3
KAJTOE	Fe	3	3	{2: 0.657177, 3: 0.000611, 4: 9999, 6: 9999}	2
KALCUX	Fe	2	2	{2: 0.012205, 3: 0.779141, 4: 9999, 6: 9999}	2
KALDAE	Fe	2	2	{2: 9.1e-05, 3: 0.72747, 4: 9999, 6: 9999}	2
KALNOB	Fe	2	2	{2: 1.6e-05, 3: 0.765676, 4: 9999, 6: 9999}	3
KALXIH	Fe	2	2	{2: 0.011511, 3: 0.717634, 4: 9999, 6: 9999}	2
KALXON	Fe	2	2	{2: 0.018052, 3: 0.725141, 4: 9999, 6: 9999}	2
KANBAC	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	1
KANHUC	Fe	9999	3	{2: 1.109975, 3: 0.465036, 4: 9999, 6: 9999}	3
KANYUT	Fe	3	7777	{2: 2.2e-05, 3: 0.246213, 4: 9999, 6: 9999}	2
KAPHUG	Fe	2	2	{2: 0.004733, 3: 0.637731, 4: 9999, 6: 3.791997}	2
KAPJAO	Fe	3	3	{2: 0.741472, 3: 0.146632, 4: 9999, 6: 2.888311}	1
KAPQEA	Fe	2	2	{2: 0.000373, 3: 0.632045, 4: 9999, 6: 9999}	4
KAQJAQ	Fe	3	3	{2: 0.686019, 3: 0.007323, 4: 9999, 6: 9999}	1
KAQYUZ	Fe	2	2	{2: 0.013656, 3: 0.631838, 4: 9999, 6: 9999}	2
KARFUF	Fe	2	7777	{2: 0.027199, 3: 0.001261, 4: 9999, 6: 9999}	2
KARGAM	Fe	3	7777	{2: 0.064795, 3: 0.005047, 4: 9999, 6: 9999}	2
KARHER	Fe	2	7777	{2: 0.109928, 3: 0.080316, 4: 9999, 6: 9999}	2
KARRED	Fe	2	2	{2: 0.001007, 3: 0.783943, 4: 9999, 6: 9999}	2
KARRON	Fe	2	2	{2: 0.000602, 3: 0.727673, 4: 9999, 6: 9999}	3
