refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ABERUU	Ru	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
ABESEF	Ru	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
ABEZUD	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
ABIBAP	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
ABIRIO	Ru	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABIROU	Ru	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABIRUA	Ru	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABISAH	Ru	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABISEL	Ru	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABOCEZ	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUGOU	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUYEE	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
ABUYUU	Ru	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACAREE	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACARUU	Ru	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACIDAS	Ru	2	3	{2: 9999, 3: 0.270507, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
ACIDEW	Ru	2	3	{2: 9999, 3: 0.065323, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
