refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
NAMNIZ	Co	2	2	{1: 9999, 2: 0.001211, 3: 0.918514, 4: 1.802905}	3
NAMQAU	Co	2	2	{1: 9999, 2: 0.023641, 3: 1.133962, 4: 9999}	2
NANHAM	Co	9999	2	{1: 9999, 2: 0.004326, 3: 0.991527, 4: 9999}	3
NANJEU	Co	2	2	{1: 9999, 2: 0.011841, 3: 0.884296, 4: 9999}	2
NAPCOC10	Co	3	7777	{1: 9999, 2: 0.231541, 3: 0.15394, 4: 9999}	4
NAQQEB	Co	9999	3	{1: 9999, 2: 1.137363, 3: 0.063715, 4: 9999}	3
NARGEU	Co	2	2	{1: 9999, 2: 0.087657, 3: 1.15193, 4: 9999}	3
NASPII	Co	3	3	{1: 9999, 2: 1.056306, 3: 0.042026, 4: 9999}	4
NASPOO	Co	3	3	{1: 9999, 2: 1.003061, 3: 0.001466, 4: 9999}	3
NASQAB	Co	3	3	{1: 9999, 2: 1.028083, 3: 0.019077, 4: 9999}	2
NASQEF	Co	2	7777	{1: 9999, 2: 0.278318, 3: 0.395983, 4: 9999}	1
NATBER	Co	3	3	{1: 9999, 2: 0.631765, 3: 0.014156, 4: 9999}	3
NAVBOE	Co	9999	2	{1: 9999, 2: 0.001367, 3: 1.091991, 4: 9999}	3
NAVPEH	Co	2	2	{1: 9999, 2: 0.03292, 3: 0.734985, 4: 9999}	1
NAXNIL	Co	3	3	{1: 9999, 2: 0.965483, 3: 0.333641, 4: 9999}	2
NAXVUF	Co	2	2	{1: 9999, 2: 0.00686, 3: 0.969167, 4: 9999}	2
NAXWEQ	Co	2	2	{1: 9999, 2: 0.043644, 3: 1.0585, 4: 9999}	2
NAYBEW	Co	9999	3	{1: 9999, 2: 0.60206, 3: 0.007721, 4: 9999}	3
NAYYOD	Co	9999	7777	{1: 9999, 2: 0.405524, 3: 0.063101, 4: 9999}	3
NAYZAQ	Co	2	8888	{1: 9999, 2: 9999, 3: 1.358843, 4: 9999}	3
NAZJOP	Co	1	3	{1: 9999, 2: 9999, 3: 0.098617, 4: 9999}	2
NAZYIZ	Co	3	3	{1: 9999, 2: 0.711291, 3: 0.003274, 4: 9999}	3
NAZYOF	Co	3	3	{1: 9999, 2: 0.87498, 3: 0.190806, 4: 9999}	5
NAZYUL	Co	3	3	{1: 9999, 2: 0.850268, 3: 0.168073, 4: 9999}	3
NAZZOF	Co	2	2	{1: 9999, 2: 0.000184, 3: 1.108202, 4: 9999}	4
NCACON	Co	3	7777	{1: 9999, 2: 0.436999, 3: 0.01521, 4: 9999}	3
NDPECO	Co	1	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NEBJIQ	Co	2	2	{1: 9999, 2: 0.002729, 3: 1.158278, 4: 9999}	3
NEBKAJ	Co	2	2	{1: 9999, 2: 0.017908, 3: 1.172276, 4: 9999}	3
NEBLIP	Co	2	2	{1: 9999, 2: 0.29835, 3: 1.430876, 4: 9999}	2
NEDJEL	Co	2	2	{1: 9999, 2: 0.00066, 3: 0.945029, 4: 1.830893}	2
NEFRAR	Co	3	7777	{1: 9999, 2: 0.374886, 3: 0.096311, 4: 9999}	3
NEFXOO	Co	3	3	{1: 9999, 2: 0.994431, 3: 0.14789, 4: 9999}	2
NEJCAH	Co	3	3	{1: 9999, 2: 1.037544, 3: 0.193087, 4: 9999}	1
NEKZIM	Co	3	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NELCIT	Co	2	2	{1: 9999, 2: 0.056686, 3: 1.138383, 4: 9999}	2
NELLUN	Co	9999	7777	{1: 9999, 2: 0.368847, 3: 0.021178, 4: 9999}	4
NELNEX	Co	9999	3	{1: 9999, 2: 0.50436, 3: 0.110124, 4: 9999}	4
NELPID	Co	2	2	{1: 9999, 2: 5.7e-05, 3: 0.988113, 4: 9999}	2
NELSEE	Co	3	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NELTAB	Co	2	2	{1: 9999, 2: 0.054474, 3: 1.151271, 4: 9999}	2
NEMQEB	Co	2	2	{1: 9999, 2: 0.001964, 3: 1.031402, 4: 9999}	2
NENMOK	Co	2	2	{1: 9999, 2: 0.001197, 3: 0.970201, 4: 9999}	2
NEPSEH	Co	2	2	{1: 9999, 2: 0.000665, 3: 1.013462, 4: 1.903127}	3
NEPSUY	Co	2	2	{1: 9999, 2: 0.000122, 3: 1.086377, 4: 9999}	4
NEPWOW	Co	2	2	{1: 9999, 2: 0.010602, 3: 1.165539, 4: 9999}	2
NEQKAY	Co	2	7777	{1: 9999, 2: 0.021425, 3: 0.476568, 4: 9999}	2
NERBES	Co	2	2	{1: 9999, 2: 0.259671, 3: 1.395209, 4: 9999}	2
NERBOB	Co	2	2	{1: 9999, 2: 0.005425, 3: 1.085171, 4: 9999}	3
NERCAO	Co	2	2	{1: 9999, 2: 0.00334, 3: 0.868862, 4: 9999}	1
NERCOC	Co	3	3	{1: 9999, 2: 1.134281, 3: 0.070743, 4: 9999}	3
NERGEY	Co	2	2	{1: 9999, 2: 0.105942, 3: 0.806928, 4: 1.685121}	1
NERGOH	Co	2	2	{1: 9999, 2: 0.080956, 3: 1.153734, 4: 9999}	2
NERMED	Co	2	2	{1: 9999, 2: 0.000637, 3: 0.939486, 4: 1.825041}	2
NESNAC	Co	2	2	{1: 9999, 2: 0.009903, 3: 1.035301, 4: 9999}	2
NESWUF	Co	3	7777	{1: 9999, 2: 0.218605, 3: 0.170438, 4: 9999}	3
NETQIP	Co	3	3	{1: 9999, 2: 0.877361, 3: 0.220371, 4: 9999}	4
NETXER	Co	2	2	{1: 9999, 2: 0.061107, 3: 1.168807, 4: 9999}	2
NEWKOS	Co	3	7777	{1: 9999, 2: 0.471095, 3: 0.118647, 4: 9999}	3
NEWQAI	Co	2	2	{1: 9999, 2: 5.7e-05, 3: 0.975408, 4: 9999}	3
NEWRAJ	Co	3	7777	{1: 9999, 2: 0.356636, 3: 0.005603, 4: 9999}	3
NEWSAM	Co	3	7777	{1: 9999, 2: 0.436434, 3: 0.075953, 4: 9999}	4
NEXPEM	Co	2	2	{1: 9999, 2: 0.015117, 3: 0.937495, 4: 9999}	2
NEXQAK	Co	2	2	{1: 9999, 2: 0.035519, 3: 1.15188, 4: 9999}	3
NEXYAS	Co	3	3	{1: 9999, 2: 9999, 3: 0.022574, 4: 9999}	4
NEYQEQ	Co	2	8888	{1: 9999, 2: 9999, 3: 1.178999, 4: 9999}	3
NEZGIJ	Co	2	8888	{1: 9999, 2: 9999, 3: 0.712295, 4: 9999}	2
NEZHIK	Co	1	7777	{1: 9999, 2: 0.475758, 3: 0.130297, 4: 9999}	2
NEZPEQ	Co	2	2	{1: 9999, 2: 0.005472, 3: 0.90576, 4: 9999}	2
NEZRIV	Co	2	2	{1: 9999, 2: 0.155174, 3: 1.298851, 4: 9999}	3
NICDOU	Co	9999	3	{1: 9999, 2: 1.170935, 3: 0.096978, 4: 9999}	3
NICDUA	Co	9999	3	{1: 9999, 2: 1.11724, 3: 0.043673, 4: 9999}	2
NICFAH	Co	2	2	{1: 9999, 2: 0.121215, 3: 1.267537, 4: 9999}	3
NICFOU	Co	2	2	{1: 9999, 2: 0.111718, 3: 1.25878, 4: 9999}	2
NICOEN10	Co	3	7777	{1: 9999, 2: 0.360528, 3: 0.010567, 4: 9999}	3
NICVAZ	Co	2	2	{1: 9999, 2: 0.13896, 3: 1.246601, 4: 9999}	3
NIDDOV	Co	2	2	{1: 9999, 2: 0.173334, 3: 1.251387, 4: 9999}	2
NIDKOC	Co	2	2	{1: 9999, 2: 0.045709, 3: 1.100187, 4: 9999}	2
NIDQIA	Co	9999	7777	{1: 9999, 2: 0.138022, 3: 0.345921, 4: 9999}	2
NIGDIR	Co	3	7777	{1: 9999, 2: 0.34085, 3: 0.094137, 4: 9999}	2
NIGJOF	Co	2	2	{1: 9999, 2: 0.121831, 3: 1.268104, 4: 9999}	2
NIGVUU	Co	3	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	4
NIHNEZ	Co	1	7777	{1: 9999, 2: 0.27778, 3: 0.094968, 4: 9999}	2
NIHXEK	Co	1	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NIHYIP	Co	1	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NIKSAD	Co	9999	3	{1: 9999, 2: 0.832261, 3: 0.15054, 4: 9999}	3
NIKTUY	Co	2	2	{1: 9999, 2: 0.16723, 3: 1.200531, 4: 9999}	3
NILVIN	Co	9999	7777	{1: 9999, 2: 0.333604, 3: 0.023771, 4: 9999}	3
NIMBUJ	Co	3	7777	{1: 9999, 2: 0.142113, 3: 0.267994, 4: 9999}	4
NIMCES	Co	2	2	{1: 9999, 2: 0.002369, 3: 1.020315, 4: 9999}	2
NIMSUX	Co	2	2	{1: 9999, 2: 0.05057, 3: 1.10913, 4: 9999}	1
NINCAO	Co	3	3	{1: 9999, 2: 9999, 3: 0.167138, 4: 9999}	2
NINFAR	Co	3	3	{1: 9999, 2: 0.744933, 3: 0.001542, 4: 9999}	3
NINFEV	Co	1	3	{1: 9999, 2: 9999, 3: 0.004126, 4: 9999}	3
NINGOG	Co	2	2	{1: 9999, 2: 0.002679, 3: 1.005167, 4: 9999}	2
NINGUM	Co	2	2	{1: 9999, 2: 0.101393, 3: 1.249259, 4: 9999}	2
NINXEQ	Co	9999	7777	{1: 9999, 2: 0.387935, 3: 0.045521, 4: 9999}	5
NIPLAZ	Co	2	2	{1: 9999, 2: 0.009885, 3: 0.829118, 4: 9999}	1
NIQGUP	Co	3	7777	{1: 9999, 2: 0.476405, 3: 0.022349, 4: 9999}	3
NIQHIE	Co	2	7777	{1: 9999, 2: 0.49169, 3: 0.03342, 4: 9999}	3
NIQKIH	Co	2	2	{1: 9999, 2: 0.001338, 3: 1.039878, 4: 9999}	2
NIQKON	Co	2	2	{1: 9999, 2: 0.01614, 3: 1.072549, 4: 9999}	2
NIQKOP	Co	2	2	{1: 9999, 2: 0.002815, 3: 0.909799, 4: 9999}	1
NIQLEG	Co	2	2	{1: 9999, 2: 0.004296, 3: 0.92177, 4: 9999}	1
NIRRIP	Co	2	2	{1: 9999, 2: 0.052672, 3: 1.063531, 4: 9999}	2
NISHAB	Co	2	2	{1: 9999, 2: 0.052759, 3: 1.120848, 4: 9999}	3
NITNEJ	Co	3	7777	{1: 9999, 2: 0.129122, 3: 0.284562, 4: 9999}	4
