refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
UGUCOO	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
UGUNUF	Cr	3	3	{2: 9999, 3: 0.176847, 4: 9999, 5: 9999, 6: 9999}	1
UHIZAM	Cr	3	3	{2: 9999, 3: 0.06915, 4: 9999, 5: 9999, 6: 9999}	2
UKOBED	Cr	3	7777	{2: 1.286614, 3: 0.09689, 4: 0.000162, 5: 1.244537, 6: 2.017626}	1
ULANIF	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
ULAREF	Cr	3	3	{2: 0.957372, 3: 0.169853, 4: 9999, 5: 9999, 6: 9999}	4
ULAYUC	Cr	3	3	{2: 0.925859, 3: 0.199779, 4: 9999, 5: 9999, 6: 9999}	2
ULOZUQ	Cr	3	3	{2: 9999, 3: 0.201039, 4: 9999, 5: 9999, 6: 9999}	2
UMELON	Cr	3	3	{2: 1.128549, 3: 0.005287, 4: 9999, 5: 9999, 6: 9999}	4
UMOFUX	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
UNANAY	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
UNEREL	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
UQISAP	Cr	9999	8888	{2: 2.211135, 3: 0.982438, 4: 9999, 5: 9999, 6: 9999}	3
UQISUJ	Cr	9999	8888	{2: 2.218861, 3: 0.983785, 4: 9999, 5: 9999, 6: 9999}	3
UWUYER	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
UYAKAI	Cr	3	3	{2: 1.140268, 3: 1.3e-05, 4: 9999, 5: 9999, 6: 9999}	2
UZAGEI	Cr	3	3	{2: 1.154928, 3: 0.000286, 4: 9999, 5: 9999, 6: 9999}	2
UZAGIM	Cr	3	3	{2: 1.180292, 3: 0.001655, 4: 9999, 5: 9999, 6: 9999}	2
VABTOH	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VACXUS	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VADBOR	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VADZOP	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VAFDIR	Cr	3	3	{2: 1.178786, 3: 0.005188, 4: 9999, 5: 9999, 6: 9999}	3
VAGLUL	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VAJPEB	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VAMBAM	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VAMNAY	Cr	2	2	{2: 0.046602, 3: 1.164599, 4: 1.676694, 5: 2.864413, 6: 3.735377}	2
VAQFAU	Cr	2	2	{2: 0.025864, 3: 1.242729, 4: 9999, 5: 9999, 6: 9999}	3
VAQQIN	Cr	9999	8888	{2: 9999, 3: 1.581651, 4: 9999, 5: 9999, 6: 9999}	3
VEDPEA	Cr	3	3	{2: 1.097374, 3: 0.005812, 4: 9999, 5: 9999, 6: 9999}	4
VEMSOW	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VEPLAD	Cr	3	3	{2: 9999, 3: 0.08608, 4: 9999, 5: 9999, 6: 9999}	1
VEPLEH	Cr	3	3	{2: 9999, 3: 0.244898, 4: 9999, 5: 9999, 6: 9999}	1
VERPEO	Cr	9999	3	{2: 1.446295, 3: 0.281734, 4: 9999, 5: 9999, 6: 9999}	3
VERSER	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
VERWAQ	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VEWKIU	Cr	3	3	{2: 9999, 3: 0.000393, 4: 9999, 5: 9999, 6: 9999}	2
VEXFAI	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VEXWON	Cr	3	3	{2: 1.153307, 3: 5.5e-05, 4: 9999, 5: 9999, 6: 9999}	3
VEZDEK	Cr	3	3	{2: 1.012154, 3: 0.090957, 4: 9999, 5: 9999, 6: 9999}	3
VEZDIO	Cr	3	3	{2: 0.920963, 3: 0.177861, 4: 9999, 5: 9999, 6: 9999}	3
VEZDOU	Cr	3	3	{2: 1.013329, 3: 0.088115, 4: 9999, 5: 9999, 6: 9999}	2
VIFTOW	Cr	3	7777	{2: 1.132978, 3: 0.002174, 4: 0.110812, 5: 1.41779, 6: 2.201347}	1
VIFXEN	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VIFXIR	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VIFXOX	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VIJYEV	Cr	3	3	{2: 1.059686, 3: 0.101312, 4: 9999, 5: 9999, 6: 9999}	4
