refcode	metal	charge_cif
AAMTCO	Co	2
AAZDCO	Co	3
ABAHUH	Co	2
ABAJIX	Co	2
ABARON	Co	2
ABASEE	Co	3
ABATED	Co	1
ABATUT	Co	3
ABDSCT	Co	3
ABEBOA	Co	2
ABECAN	Co	2
ABECER	Co	2
ABECOB	Co	2
ABECUH	Co	2
ABEDAO	Co	2
ABIDIY	Co	2
ABIYOA	Co	3
ABIYUG	Co	2
ABIZER	Co	2
ABIZUH	Co	2
ABOBAW	Co	3
ABOBEA	Co	3
ABOBEZ	Co	2
ABOQAJ	Co	3
ABOSUH	Co	3
ABUWEA	Co	2
ACASUS	Co	2
ACATED	Co	2
ACEDOB	Co	2
ACEXAH	Co	2
ACHXCO	Co	3
ACIFUO	Co	2
ACIMOQ	Co	2
ACINOR	Co	2
ACINUX	Co	3
ACISUC	Co	3
ACITAJ	Co	3
ACITEN	Co	3
ACITIR	Co	3
ACMQCO	Co	2
ACNACO	Co	3
ACNCOA10	Co	2
ACNCOB20	Co	1
ACNPCO	Co	3
ACOBUP	Co	2
ACOCAW	Co	2
ACONPB	Co	3
ACOSEU	Co	3
ACTSCO10	Co	2
ACTXCO10	Co	3
ACUGOW	Co	2
ACUHAJ	Co	2
ACUHOX	Co	2
ACZDCO	Co	3
ADACIU	Co	2
ADEFIZ	Co	3
ADEGIB	Co	3
ADEGOH	Co	3
ADEHEX	Co	2
ADEJUR	Co	2
ADEKOL	Co	2
ADENAY	Co	2
ADEQEI	Co	2
ADEQUY	Co	2
ADERAF	Co	2
ADHCOS10	Co	2
ADITIT	Co	2
ADIZUI	Co	2
ADULES	Co	2
ADUSAU	Co	2
ADUXII	Co	3
AEAZCO10	Co	3
AFAGIX	Co	1
AFAGOD	Co	1
AFAHAQ	Co	1
AFAHEU	Co	1
AFAHIY	Co	1
AFAWOV	Co	2
AFEDOF	Co	2
AFEDOH	Co	2
AFEFUO	Co	2
AFEXOA	Co	2
AFOYIF	Co	2
AFULAO	Co	3
AFULES	Co	3
AFULIW	Co	3
AFULOC	Co	3
AFULUI	Co	3
AFUNAQ	Co	3
AFUVAY	Co	2
AFUWIJ	Co	2
AGAVAI	Co	2
AGAVIQ	Co	3
AGEFAT	Co	3
AGEZIW	Co	3
AGIDEC	Co	2
AGODAC	Co	3
